#OHare:2021utq
#mass, value
0.1, 8.585065864009521e-38
0.10595601792776159, 9.466375338435055e-38
0.11226677735108136, 1.0489067748921496e-37
0.11895340673703195, 1.1679230115287681e-37
0.12603829296797275, 1.3062021542244445e-37
0.13354515629298988, 1.4657628475673803e-37
0.1414991297434576, 1.6522599049170524e-37
0.14992684327860456, 1.8702285749449202e-37
0.15885651294280528, 2.12995603416574e-37
0.16831803533309567, 2.4430733576307608e-37
0.17834308769319093, 2.8213722875240243e-37
0.18896523396912096, 3.2811414998240345e-37
0.20022003718155845, 3.819349931518261e-37
0.21214517849106299, 4.431277120293839e-37
0.22478058335487253, 5.09576564282189e-37
0.23816855519761582, 5.785550772363457e-37
0.2523539170434766, 6.491140062424927e-37
0.26738416158399464, 7.192746108287366e-37
0.2833096101839324, 7.8965454424381e-37
0.3001835813575589, 8.603493220414952e-37
0.318062569279412, 9.31795311730337e-37
0.3370064329271929, 1.005114243363044e-36
0.35707859649004636, 1.0798192502962545e-36
0.378346261713193, 1.1559602242299878e-36
0.40088063288984654, 1.230706222220331e-36
0.42475715525368996, 1.3004454688207447e-36
0.4500557675700499, 1.3593065059194542e-36
0.47686116977144705, 1.398360495348196e-36
0.5052631065335681, 1.4067187969068269e-36
0.5353566677410726, 1.3769225045629451e-36
0.5672426068491979, 1.3053801033382958e-36
0.6010276782070383, 1.1976911834592602e-36
0.6368249944718588, 1.0625305694496282e-36
0.6747544053110694, 9.118526350516252e-37
0.7149428986597579, 7.563217074132667e-37
0.7575250258771914, 6.0500056474525694e-37
0.8026433522257176, 4.657269978146433e-37
0.8504489341802679, 3.4478861534667897e-37
0.9011018251665021, 2.476615865119044e-37
0.9547716114208059, 1.7696473816138214e-37
1.0116379797662076, 1.2913150573191055e-37
1.071891319205128, 9.715336534589047e-38
1.1357333583431057, 7.516624668403716e-38
1.20337784077759, 5.964615875057691e-38
1.2750512407130135, 4.850245756518463e-38
1.3509935211980273, 4.0432644926063437e-38
1.4314589375234792, 3.4628322564516635e-38
1.5167168884709232, 3.049884248550317e-38
1.6070528182616393, 2.7629971966542004e-38
1.7027691722259004, 2.5722042453725756e-38
1.8041864093920728, 2.45159542060855e-38
1.9116440753857027, 2.385513686191748e-38
2.0255019392306677, 2.36019819996689e-38
2.146141197858405, 2.3661701417248755e-38
2.273965752357929, 2.3982425816027083e-38
2.4094035602395256, 2.4496266455860775e-38
2.552908068239518, 2.5184597847350714e-38
2.704959730463136, 2.601576447315695e-38
2.8660676169482517, 2.695542190299326e-38
3.036771118035459, 2.799425323707456e-38
3.217641750250737, 2.9096385842267143e-38
3.409285069746813, 3.024984873617561e-38
3.612342699709432, 3.1431534882681695e-38
3.827494478516313, 3.260100831976421e-38
4.05546073584083, 3.374127982219834e-38
4.297004704320842, 3.4796350958744237e-38
4.55293507486695, 3.5707190601407e-38
4.824108704165371, 3.642800071830423e-38
5.111433483440168, 3.6845874018620484e-38
5.415871378079474, 3.6854969536435723e-38
5.738441648302396, 3.6234255158093337e-38
6.080224261649424, 3.45882200104061e-38
6.442363508721374, 3.1132046032554663e-38
6.82607183427239, 2.5271347912642093e-38
7.232633896483537, 1.757487459099672e-38
7.663410868007459, 9.402292788443535e-39
8.119844993184014, 1.0862318695740101e-39
8.603464416684504, 6.091228572793001e-40
9.115888299750823, 3.77407881679897e-40
9.658832241158704, 2.458956527028778e-40
10.234114021054538, 1.667006686197741e-40
10.843659686896109, 1.1712347415498247e-40
11.489510001873098, 8.519656340606431e-41
12.17382727739662, 6.415244499867563e-41
12.898902612533094, 4.99421861837723e-41
13.667163564620074, 4.0237637197762726e-41
14.481182276745345, 3.353137600152075e-41
15.343684089300131, 2.8837434023959013e-41
16.25755666443795, 2.5560543452166616e-41
17.225859653987875, 2.3258849320577544e-41
18.251834943190442, 2.1640152876022964e-41
19.33891750455232, 2.0524551413781523e-41
20.49074689815848, 1.9766672983746154e-41
21.711179456945054, 1.9280111010526293e-41
23.00430119772919, 1.900226374668405e-41
24.37444150122222, 1.888731738202776e-41
25.826187606826775, 1.8904837103244449e-41
27.36439997074672, 1.903369660437917e-41
28.994228538828782, 1.925499091747483e-41
30.72112998861759, 1.955507716757415e-41
32.5508859983506, 1.9926505769733822e-41
34.489622604057594, 2.035796875711855e-41
36.54383070957258, 2.084932887232065e-41
38.72038781812557, 2.1387574470279466e-41
41.026581058271944, 2.1966333458161422e-41
43.470131581250264, 2.258767119490963e-41
46.059220411451086, 2.3240829003920733e-41
48.80251583654434, 2.3915113856746963e-41
51.70920242896761, 2.4603360500202544e-41
54.78901179593945, 2.5304187612948103e-41
58.05225516094902, 2.601595788382208e-41
61.50985788580504, 2.672620045973004e-41
65.17339604882427, 2.743075210334189e-41
69.0551352016233, 2.81460827868745e-41
73.168071434272, 2.886451536134465e-41
77.52597488629465, 2.9579232596574234e-41
82.1434358491943, 3.03163026999948e-41
87.03591361485165, 3.1073740074372644e-41
92.21978823334331, 3.1840553896424595e-41
