#XENON:2018voc
#mass, value
6.0, 2.49e-44
8.0, 2.05e-45
9.0, 9.4e-46
10.0, 5.39e-46
15.0, 1.17e-46
20.0, 5.66e-47
30.0, 4.05e-47
40.0, 4.48e-47
50.0, 5.26e-47
70.0, 6.79e-47
100.0, 9.12e-47
150.0, 1.31e-46
200.0, 1.72e-46
400.0, 3.34e-46
1000.0, 8.24e-46
10000.0, 8.21e-45
