#OHare:2021utq
#mass, value
0.1, 4.638081055405623e-40
0.10595601792776159, 5.113251659505669e-40
0.11226677735108136, 5.664857936695258e-40
0.11895340673703195, 6.3094460274870545e-40
0.12603829296797275, 7.054355778189711e-40
0.13354515629298988, 7.914690801189372e-40
0.1414991297434576, 8.923450710263603e-40
0.14992684327860456, 1.010059960735358e-39
0.15885651294280528, 1.150212983700298e-39
0.16831803533309567, 1.3191837642655116e-39
0.17834308769319093, 1.5231584977494597e-39
0.18896523396912096, 1.771113886388289e-39
0.20022003718155845, 2.061659937070803e-39
0.21214517849106299, 2.3923283179384787e-39
0.22478058335487253, 2.7513348408480806e-39
0.23816855519761582, 3.124264672235698e-39
0.2523539170434766, 3.50585880375653e-39
0.26738416158399464, 3.8852696856689464e-39
0.2833096101839324, 4.2660117657839134e-39
0.3001835813575589, 4.648409904380852e-39
0.318062569279412, 5.0333389772554985e-39
0.3370064329271929, 5.430972599666047e-39
0.35707859649004636, 5.834767439497631e-39
0.378346261713193, 6.245354443780704e-39
0.40088063288984654, 6.651583006431011e-39
0.42475715525368996, 7.028445768295486e-39
0.4500557675700499, 7.34955225296207e-39
0.47686116977144705, 7.558910333160605e-39
0.5052631065335681, 7.609292599249479e-39
0.5353566677410726, 7.449710569106171e-39
0.5672426068491979, 7.06694609963568e-39
0.6010276782070383, 6.484786895018163e-39
0.6368249944718588, 5.7564339971168836e-39
0.6747544053110694, 4.9436253500265684e-39
0.7149428986597579, 4.1018129527652034e-39
0.7575250258771914, 3.2828758467876385e-39
0.8026433522257176, 2.5285832775097355e-39
0.8504489341802679, 1.8726781615059773e-39
0.9011018251665021, 1.3455803658416844e-39
0.9547716114208059, 9.612635923166101e-40
1.0116379797662076, 7.011649030874373e-40
1.071891319205128, 5.272881263169513e-40
1.1357333583431057, 4.077974271109254e-40
1.20337784077759, 3.2346159617566396e-40
1.2750512407130135, 2.629345616761786e-40
1.3509935211980273, 2.1912259587086204e-40
1.4314589375234792, 1.875841026523242e-40
1.5167168884709232, 1.6514743886092467e-40
1.6070528182616393, 1.4956166527311164e-40
1.7027691722259004, 1.391689843040457e-40
1.8041864093920728, 1.3259963995702047e-40
1.9116440753857027, 1.2899271633862835e-40
2.0255019392306677, 1.2759089368389616e-40
2.146141197858405, 1.2787848788876268e-40
2.273965752357929, 1.2959091840496515e-40
2.4094035602395256, 1.323763174399172e-40
2.552908068239518, 1.360769617526333e-40
2.704959730463136, 1.405511983675741e-40
2.8660676169482517, 1.4559047072612175e-40
3.036771118035459, 1.5120415236647129e-40
3.217641750250737, 1.5717636651985602e-40
3.409285069746813, 1.6342553253066539e-40
3.612342699709432, 1.6981837893313859e-40
3.827494478516313, 1.7614053440857204e-40
4.05546073584083, 1.8226978145393326e-40
4.297004704320842, 1.879261958962466e-40
4.55293507486695, 1.9293182739343717e-40
4.824108704165371, 1.9683113040293684e-40
5.111433483440168, 1.9916847510220934e-40
5.415871378079474, 1.9924692451639145e-40
5.738441648302396, 1.9590731080119056e-40
6.080224261649424, 1.8712324899485833e-40
6.442363508721374, 1.6859563117772303e-40
6.82607183427239, 1.3714388006610295e-40
7.232633896483537, 9.56028410478431e-41
7.663410868007459, 5.142477642701892e-41
8.119844993184014, 5.92809335988624e-42
8.603464416684504, 3.316636208238084e-42
9.115888299750823, 2.0533195830413204e-42
9.658832241158704, 1.3364437104119635e-42
10.234114021054538, 9.060329086927087e-43
10.843659686896109, 6.3610730363126145e-43
11.489510001873098, 4.62524809745155e-43
12.17382727739662, 3.4813259380283508e-43
12.898902612533094, 2.7089264845145943e-43
13.667163564620074, 2.1816832803727762e-43
