#mass, value
5.0, 2.41e-44
5.96187321, 6.11e-45
7.36339356, 1.9e-45
8.476336679, 9.32e-46
9.757496037, 4.74e-46
14.71074803, 1.18e-46
19.95645932, 5.42e-47
29.38945281, 3.79e-47
39.86944908, 3.37e-47
59.40765718, 3.72e-47
99.53743332, 5.87e-47
151.8367828, 7.96e-47
245.6057098, 1.34e-46
392.6501273, 1.91e-46
9883.38738, 4.66e-45
