#OHare:2021utq
#mass, value
0.1, 4.330133420120823e-45
0.1023340212191642, 4.49356713987225e-45
0.1047225189888435, 4.6730279608478335e-45
0.10716676480328635, 4.8647001402336984e-45
0.10966805983368685, 5.063791740339597e-45
0.11222773562085077, 5.276115604360476e-45
0.11484715478402893, 5.503904257587274e-45
0.11752771174629452, 5.74230771243816e-45
0.12027083347685116, 5.996017949362146e-45
0.12307798025066652, 6.268500784419491e-45
0.1259506464258358, 6.558866758142058e-45
0.12889036123908928, 6.860632895453015e-45
0.13189868961986703, 7.184194328817564e-45
0.13497723302339426, 7.526183733755189e-45
0.138127630283201, 7.893515263101183e-45
0.14135155848353956, 8.281158192294331e-45
0.14465073385216465, 8.697282849147614e-45
0.14802691267395093, 9.135126861267913e-45
0.15148189222583458, 9.607317961076069e-45
0.155017511733577, 1.0107799425906432e-44
0.15863565335085905, 1.0654626259616228e-44
0.16233824316122786, 1.123993561004521e-44
0.1661272522034293, 1.1869975096455405e-44
0.17000469752067177, 1.25539465402414e-44
0.17397264323438016, 1.3283986315048605e-44
0.1780332016430114, 1.4078978174561643e-44
0.18218853434651672, 1.494201983559757e-44
0.1864408533970486, 1.5866108877245518e-44
0.1907924224765266, 1.6866014821520085e-44
0.1952455581016861, 1.7929672385576402e-44
0.19980263085725503, 1.904154180376474e-44
0.20446606665791167, 2.0207699438558174e-44
0.20923834803969774, 2.1431669013404468e-44
0.21412201548157295, 2.2725114622524287e-44
0.2191196687578149, 2.4036859448683635e-44
0.2242339683219846, 2.5386016163324164e-44
0.22946763672319362, 2.673392260785523e-44
0.23482346005542765, 2.8125609960298485e-44
0.24030428944069684, 2.950552734616635e-44
0.24591304254680452, 3.090720787122175e-44
0.25165270514053917, 3.2330339582795736e-44
0.25752633267712005, 3.372132979146193e-44
0.26353705192673943, 3.5102696025852093e-44
0.2696880626390693, 3.648711141507208e-44
0.27598263924661803, 3.786783004011783e-44
0.2824241326078435, 3.9249120738601466e-44
0.289015971790951, 4.065003693600712e-44
0.29576166589932534, 4.204619496900583e-44
0.30266480593956924, 4.3436347889679854e-44
0.3097290667331408, 4.482221515087487e-44
0.3169582088726116, 4.621627352715563e-44
