,t_gps,rate,t_daq
0,1760,7.98158640226629,1761.48325359
1,1762,14.01558073654391,1763.48325359
2,1764,13.016997167138811,1765.48325359
3,1766,18.009915014164307,1767.48325359
4,1768,5.007082152974501,1769.48325359
5,1770,7.98158640226629,1771.48325359
6,1772,17.011331444759207,1773.48325359
7,1774,15.014164305949013,1775.48325359
8,1776,6.983002832861185,1777.48325359
9,1778,11.9971671388102,1779.48325359
10,1780,12.018413597733709,1781.48325359
11,1782,10.02124645892351,1783.48325359
12,1784,13.038243626062322,1785.48325359
13,1786,19.008498583569406,1787.48325359
14,1788,10.021246458923512,1789.48325359
15,1790,7.98158640226624,1791.48325359
16,1792,13.016997167138808,1793.48325359
17,1794,11.019830028328613,1795.48325359
18,1796,13.016997167138808,1797.48325359
19,1798,12.018413597733685,1799.48325359
20,1800,5.9844192634560915,1801.48325359
21,1802,10.021246458923514,1803.48325359
22,1804,18.009915014164307,1805.48325359
23,1806,1.118980169971671,1807.48325359
24,1808,0.014164305949009304,1809.48325359
