#NIST,PML, Radiation PhysicsDivision, M. Berger et al., XCOM: Photon Cross Sections Database. NIST Standard Reference Database 8 (XGAM), 2016
#https://www.nist.gov/pml/xcom-photon-cross-sections-database
#Photon    Coherent Incoher. Photoel. Nuclear  Electron Tot. w/  Tot. wo/ 
#Energy    Scatter. Scatter. Absorb.  Pr. Prd. Pr. Prd. Coherent Coherent 

6.000E+00 3.944E-05 1.818E-02 2.478E-04 1.774E-02 1.243E-04 3.634E-02 3.630E-02 
7.000E+00 2.898E-05 1.634E-02 2.040E-04 2.035E-02 1.674E-04 3.709E-02 3.706E-02 
8.000E+00 2.219E-05 1.488E-02 1.731E-04 2.269E-02 2.091E-04 3.797E-02 3.795E-02 
9.000E+00 1.754E-05 1.367E-02 1.501E-04 2.482E-02 2.489E-04 3.891E-02 3.889E-02 
1.000E+01 1.420E-05 1.267E-02 1.324E-04 2.677E-02 2.868E-04 3.987E-02 3.986E-02 
1.100E+01 1.174E-05 1.182E-02 1.184E-04 2.857E-02 3.226E-04 4.084E-02 4.082E-02 
1.200E+01 9.862E-06 1.108E-02 1.071E-04 3.023E-02 3.563E-04 4.178E-02 4.177E-02 
1.300E+01 8.403E-06 1.044E-02 9.766E-05 3.178E-02 3.881E-04 4.272E-02 4.271E-02 
1.400E+01 7.247E-06 9.876E-03 8.972E-05 3.321E-02 4.183E-04 4.360E-02 4.359E-02 
1.500E+01 6.312E-06 9.376E-03 8.302E-05 3.453E-02 4.469E-04 4.445E-02 4.444E-02 
1.600E+01 5.550E-06 8.931E-03 7.720E-05 3.576E-02 4.738E-04 4.525E-02 4.524E-02 
1.800E+01 4.384E-06 8.160E-03 6.770E-05 3.799E-02 5.243E-04 4.675E-02 4.675E-02 
2.000E+01 3.551E-06 7.527E-03 6.032E-05 3.999E-02 5.702E-04 4.815E-02 4.815E-02 
2.200E+01 2.935E-06 6.990E-03 5.435E-05 4.181E-02 6.119E-04 4.947E-02 4.947E-02 
2.400E+01 2.466E-06 6.532E-03 4.945E-05 4.346E-02 6.504E-04 5.069E-02 5.069E-02 
2.600E+01 2.101E-06 6.133E-03 4.535E-05 4.497E-02 6.857E-04 5.183E-02 5.183E-02 
2.800E+01 1.812E-06 5.789E-03 4.188E-05 4.633E-02 7.183E-04 5.288E-02 5.288E-02 
3.000E+01 1.578E-06 5.481E-03 3.891E-05 4.761E-02 7.490E-04 5.388E-02 5.388E-02 
4.000E+01 8.880E-07 4.354E-03 2.870E-05 5.275E-02 8.752E-04 5.801E-02 5.801E-02 
5.000E+01 5.683E-07 3.635E-03 2.272E-05 5.660E-02 9.710E-04 6.123E-02 6.123E-02 
6.000E+01 3.946E-07 3.132E-03 1.881E-05 5.958E-02 1.047E-03 6.378E-02 6.378E-02 
8.000E+01 2.220E-07 2.470E-03 1.399E-05 6.399E-02 1.161E-03 6.763E-02 6.763E-02 
1.000E+02 1.421E-07 2.050E-03 1.113E-05 6.711E-02 1.244E-03 7.041E-02 7.041E-02 
