,time,NU_E,NU_E_BAR,NU_X+NU_X_BAR,Total
0,-0.34462761827,3.2488213592902675e-13,0.0,0.0,3.2488213592902675e-13
1,-0.343626301376,0.0002482271731550047,0.0,0.0,0.0002482271731550047
2,-0.342619596326,0.0007466323466014261,0.0,0.0,0.0007466323466014261
3,-0.341575222688,0.001076951196209496,0.0,0.0,0.001076951196209496
4,-0.340537423828,0.00120821594072674,0.0,0.0,0.00120821594072674
5,-0.339499624968,0.0012476251505916594,0.0,0.0,0.0012476251505916594
6,-0.338461826107,0.0012749574065448323,0.0,0.0,0.0012749574065448323
7,-0.337424027247,0.0012809358852687615,0.0,0.0,0.0012809358852687615
8,-0.336386228387,0.0012798661551059285,0.0,0.0,0.0012798661551059285
9,-0.335367744417,0.0012896547321593328,0.0,0.0,0.0012896547321593328
10,-0.334327744417,0.0012988424103132425,0.0,0.0,0.0012988424103132425
11,-0.333287744417,0.0013083044183746144,0.0,0.0,0.0013083044183746144
12,-0.332247744417,0.001320310474508326,0.0,0.0,0.001320310474508326
13,-0.331207744417,0.0013330236558383877,0.0,0.0,0.0013330236558383877
14,-0.330167744417,0.0013458225670440486,0.0,0.0,0.0013458225670440486
15,-0.329127744417,0.0013587943400622932,0.0,0.0,0.0013587943400622932
16,-0.328087744417,0.0013718722736069295,0.0,0.0,0.0013718722736069295
17,-0.327047744417,0.0013850461843495318,0.0,0.0,0.0013850461843495318
18,-0.326007744417,0.0013985790819705318,0.0,0.0,0.0013985790819705318
19,-0.324967744417,0.0014125292792582747,0.0,0.0,0.0014125292792582747
20,-0.323927744417,0.0014268194208347754,0.0,0.0,0.0014268194208347754
21,-0.322887744417,0.001441333255526558,0.0,0.0,0.001441333255526558
22,-0.321847744417,0.0014560167007662628,0.0,0.0,0.0014560167007662628
23,-0.320807744417,0.0014709176953799016,0.0,0.0,0.0014709176953799016
24,-0.319767744417,0.0014860319894514154,0.0,0.0,0.0014860319894514154
25,-0.318727744417,0.0015013864309214823,0.0,0.0,0.0015013864309214823
26,-0.317687744417,0.0015176644773003927,0.0,0.0,0.0015176644773003927
27,-0.316647744417,0.0015354944114362547,0.0,0.0,0.0015354944114362547
28,-0.315607744417,0.0015540860727017135,0.0,0.0,0.0015540860727017135
29,-0.314567744417,0.001572932795027043,0.0,0.0,0.001572932795027043
30,-0.313527744417,0.0015922333475285328,0.0,0.0,0.0015922333475285328
31,-0.312487744417,0.0016123122387556828,0.0,0.0,0.0016123122387556828
32,-0.311447744417,0.0016333798022699498,0.0,0.0,0.0016333798022699498
33,-0.310407744417,0.0016547944519914243,0.0,0.0,0.0016547944519914243
34,-0.309367744417,0.0016768053814847793,0.0,0.0,0.0016768053814847793
35,-0.308327744417,0.0016992825690781855,0.0,0.0,0.0016992825690781855
36,-0.307287744417,0.0017220913752195339,0.0,0.0,0.0017220913752195339
37,-0.306247744417,0.0017454227810497246,0.0,0.0,0.0017454227810497246
38,-0.305207744417,0.001769265502461231,0.0,0.0,0.001769265502461231
39,-0.304167744417,0.0017934240490264678,0.0,0.0,0.0017934240490264678
40,-0.303127744417,0.0018178257734914392,0.0,0.0,0.0018178257734914392
41,-0.302087744417,0.0018423634362731158,0.0,0.0,0.0018423634362731158
42,-0.301047744417,0.001867247589821453,0.0,0.0,0.001867247589821453
43,-0.300007744417,0.0018925861637226278,0.0,0.0,0.0018925861637226278
44,-0.298967744417,0.0019183547917120977,0.0,0.0,0.0019183547917120977
45,-0.297927744417,0.0019444032999298337,0.0,0.0,0.0019444032999298337
46,-0.296887744417,0.0019707250544931916,0.0,0.0,0.0019707250544931916
47,-0.295847744417,0.0019976100150391886,0.0,0.0,0.0019976100150391886
48,-0.294807744417,0.0020251123985079297,0.0,0.0,0.0020251123985079297
49,-0.293767744417,0.0020529383268043425,0.0,0.0,0.0020529383268043425
50,-0.292727744417,0.0020808491171089567,0.0,0.0,0.0020808491171089567
51,-0.291687744417,0.0021087876942242076,0.0,0.0,0.0021087876942242076
52,-0.290647744417,0.002136879112038454,0.0,0.0,0.002136879112038454
53,-0.289607744417,0.0021653487718003525,0.0,0.0,0.0021653487718003525
54,-0.288567744417,0.0021940883228417116,0.0,0.0,0.0021940883228417116
55,-0.287527744417,0.002223244092894669,0.0,0.0,0.002223244092894669
56,-0.286487744417,0.0022532065778458907,0.0,0.0,0.0022532065778458907
57,-0.285447744417,0.0022838146626518382,0.0,0.0,0.0022838146626518382
58,-0.284407744417,0.0023147656592117,0.0,0.0,0.0023147656592117
59,-0.283927744417,0.002329083748940774,0.0,0.0,0.002329083748940774
60,-0.282887744417,0.002360109350584005,0.0,0.0,0.002360109350584005
61,-0.281847744417,0.002391134929574,0.0,0.0,0.002391134929574
62,-0.280807744417,0.002422235909259253,0.0,0.0,0.002422235909259253
63,-0.279767744417,0.0024536469337113286,0.0,0.0,0.0024536469337113286
64,-0.278727744417,0.002485580912452985,0.0,0.0,0.002485580912452985
65,-0.277687744417,0.0025180949847182985,0.0,0.0,0.0025180949847182985
66,-0.276647744417,0.002551088123525594,0.0,0.0,0.002551088123525594
67,-0.275607744417,0.0025843897841546825,0.0,0.0,0.0025843897841546825
68,-0.274567744417,0.002618514394586188,0.0,0.0,0.002618514394586188
69,-0.273527744417,0.002652698651240377,0.0,0.0,0.002652698651240377
70,-0.272487744417,0.0026861266321418537,0.0,0.0,0.0026861266321418537
71,-0.271447744417,0.0027188438564673197,0.0,0.0,0.0027188438564673197
72,-0.270407744417,0.0027513634145734313,0.0,0.0,0.0027513634145734313
