,Er,NU_E,NU_E_BAR,NU_X+NU_X_BAR,Total
0,2.220446049250313e-16,3.560072583416983,2.683109194786591,10.099880689707405,16.34306246791098
1,0.20202020202020202,2.769147064780567,2.231219289460627,8.260021007717263,13.26038736195846
2,0.40404040404040403,2.236623826344755,1.9111312103031473,7.035056709583973,11.182811746231875
3,0.6060606060606061,1.8447644539571553,1.6611020027351868,6.103054660289199,9.608921116981541
4,0.8080808080808081,1.5451456441481715,1.45861139141877,5.3597662810421305,8.363523316609072
5,1.0101010101010102,1.3082219094559175,1.2899315179957915,4.746305448965683,7.344458876417392
6,1.2121212121212122,1.1183833171610282,1.147845420095223,4.232666816920364,6.498895554176615
7,1.4141414141414141,0.9638426717240937,1.0266765290564435,3.796210161701993,5.7867293624825304
8,1.6161616161616161,0.8359154150873642,0.9220267286233094,3.419955632736897,5.177897776447571
9,1.8181818181818181,0.7287042991223397,0.8307899728180851,3.0921551350695657,4.651649407009991
10,2.0202020202020203,0.639424079769887,0.7516527610071303,2.807748226878178,4.1988250676551955
11,2.2222222222222223,0.5628336586648722,0.6814639225592015,2.5552760522128626,3.7995736334369363
12,2.4242424242424243,0.49792751014346764,0.6197992930668519,2.333111979658523,3.4508387828688427
13,2.6262626262626263,0.44208093697359657,0.5650071887360292,2.135325254791549,3.142413380501175
14,2.8282828282828283,0.39352175503473114,0.5159417641100246,1.9578240491948804,2.867287568339636
15,3.0303030303030303,0.3514265012202981,0.4721129268610141,1.7988552567429121,2.622394684824224
16,3.2323232323232323,0.3150126945886241,0.4330353332766116,1.6566951157836562,2.4047431436488917
17,3.4343434343434343,0.28302365172950306,0.3977908002299875,1.528106040501158,2.2089204924606487
18,3.6363636363636362,0.25485645497773063,0.36595160257906534,1.4115832945849438,2.03239135214174
19,3.8383838383838382,0.2299945523208012,0.3371400019264978,1.3058008369465208,1.8729353911938198
20,4.040404040404041,0.2079954093570509,0.3110225514031199,1.2095899008234208,1.7286078615835918
21,4.242424242424242,0.18847985427734382,0.2873049953270039,1.121920088807165,1.5977049384115127
22,4.444444444444445,0.17112290402204067,0.26572771223644676,1.041882698972153,1.4787333152306406
23,4.646464646464646,0.15564588113429798,0.2460616522066293,0.9686760277373521,1.3703835610782795
24,4.848484848484849,0.14180965148319527,0.22810472212166652,0.9015924226289055,1.2715067962337672
25,5.05050505050505,0.1294088324802578,0.21167857554469463,0.8400068829329538,1.181094290957906
26,5.252525252525253,0.11826683938964898,0.1966257668979665,0.7833670285437518,1.0982596348313671
27,5.454545454545454,0.10823165371391487,0.18280723274782862,0.7311842773314039,1.0222231637931474
28,5.656565656565657,0.0991722124026466,0.1701000660220364,0.6830260892784779,0.9522983677031609
29,5.858585858585858,0.09097532982542665,0.1583955519222895,0.6385091516583369,0.887880033406053
30,6.0606060606060606,0.08354307615796905,0.1475974370999147,0.5972933938312361,0.8284339070891198
31,6.262626262626262,0.07689785306287045,0.13774731032309634,0.5595362036497885,0.7741813670357554
32,6.4646464646464645,0.07084907549995048,0.1286367795272125,0.5244915046441543,0.7239773596713172
33,6.666666666666667,0.06532959193452409,0.12019431537895349,0.4919044506948027,0.6774283580082803
34,6.8686868686868685,0.060283675905569864,0.11235959141768666,0.4615596767996577,0.6342029441229142
35,7.070707070707071,0.05566277732479739,0.10507904310391965,0.4332654447846981,0.5940072652134151
36,7.2727272727272725,0.051484264870421265,0.09838221727570494,0.40713418497206183,0.557000667118188
37,7.474747474747475,0.047682289334729226,0.09219384316909603,0.38289539865104655,0.5227715311548717
38,7.6767676767676765,0.044178735000129706,0.08641750670431912,0.36019786381731894,0.4907941055217677
39,7.878787878787879,0.04094606555937066,0.08101993908796654,0.3389208642385415,0.4608868688858787
40,8.080808080808081,0.037996255667997046,0.07602127478753926,0.31914146910204283,0.43315899955757914
41,8.282828282828282,0.03531478399218686,0.07140778414961708,0.3008129244329596,0.4075354925747635
42,8.484848484848484,0.032825942858570704,0.06707821988219356,0.2835611516475392,0.38346531438830345
43,8.686868686868687,0.03051417078015189,0.06301209392199103,0.2673106425098187,0.36083690721196154
44,8.88888888888889,0.02842358183103596,0.05927577445558439,0.25231224285320025,0.3400115991398206
45,9.09090909090909,0.026488352348336068,0.05577818374279226,0.23822732800444257,0.3204938640955709
46,9.292929292929292,0.02468127406786226,0.05248044144014444,0.22491032834318125,0.30207204385118797
47,9.494949494949495,0.023026089456743285,0.04941950793716848,0.21250202169794824,0.28494761909185995
48,9.696969696969697,0.02150592359098156,0.04657316192765803,0.20092089727310672,0.2689999827917463
49,9.8989898989899,0.02007947240261272,0.0438794868001359,0.18993279304604793,0.25389175224879657
50,10.1010101010101,0.018766655818921986,0.04137021339268393,0.1796592747324405,0.23979614394404644
51,10.303030303030303,0.01756028904286705,0.03903654201780226,0.17006886276050048,0.2266656938211698
52,10.505050505050505,0.01642334494678929,0.03682055275599639,0.16094038132679553,0.21418427902958123
53,10.707070707070708,0.015380191994588068,0.03476214019189542,0.15242775197944686,0.20257008416593034
54,10.909090909090908,0.014413275970330047,0.03283467353069859,0.14443010741840306,0.1916780569194317
55,11.11111111111111,0.01349858047547552,0.030998918226469517,0.13679603622272118,0.1812935349246662
56,11.313131313131313,0.012668191469622397,0.029309210324277857,0.12973702224387124,0.17171442403777148
57,11.515151515151516,0.011885832085764953,0.02770590036679108,0.12302255804233098,0.16261429049488701
58,11.717171717171716,0.011151363923945168,0.026188693081071863,0.1166513954305051,0.15399145243552215
59,11.919191919191919,0.010481212870652772,0.024786982826662904,0.11073959266521567,0.14600778836253134
