,MPPC#,BV@170K,BV@170K_err,BV@180K,BV@180K_err,BV@190K,BV@190K_err
0,270,45.83344168903741,0.03415219906001049,46.252324490302016,0.039653515135132766,46.77248171165891,0.03127048507945034
1,275,45.824111318385164,0.02709000652079592,46.75260953895032,0.16773253158549012,46.73440543438377,0.031384422381879336
2,276,46.0081073806287,0.11243344514269503,46.792459515584326,0.30775443883846376,46.90448110961967,0.09839857988337736
3,277,45.85233465848253,0.03362314769193147,46.63715659854886,0.26357692837151064,46.82028771322292,0.0382142469966043
4,278,45.93803038128621,0.02468965555086304,46.7995571880895,0.28564787707006795,46.9117110192743,0.030084146059437315
5,279,46.09725378289961,0.024729214715355045,47.005430127574776,0.5423760778519124,47.09364694603362,0.0371608824973309
6,280,45.984400030300726,0.03853475287423336,46.967223608665435,0.17892364085069237,46.97976026116706,0.03905278067097242
7,281,46.02316249606089,0.09726294694922208,46.807687354160144,0.33429943055749495,46.84782855289762,0.03593184716552713
8,282,46.19209515160337,0.029511891193439967,46.5260020303164,0.042177806676660136,47.197384461862484,0.05423957539030266
9,283,,,46.53068600335074,0.03828832159139054,47.1307346761742,0.031337940367105487
10,284,,,,,47.192139556654766,0.02386063509018078
11,285,,,,,47.13769389353327,0.020360547868732492
12,286,,,,,47.13051541937879,0.022680840731672054
13,287,,,46.67467461172844,0.041876544639371995,47.31513366132906,0.059466356541352405
14,289,,,46.58155149441736,0.040507037642650345,47.17077009922497,0.039573926136800344
15,290,,,46.715764364169296,0.04006574551955759,47.26292182616788,0.03151738298282066
16,291,,,46.56643395196474,0.04141158775567981,47.11799169533462,0.037121780962592034
17,292,,,46.49473401432177,0.06169907681630271,47.046652647524475,0.04099110424398616
18,293,,,46.46204386568141,0.037802769035009294,47.0513875962668,0.0364020589663951
19,294,,,46.581438539365145,0.04568171542352003,47.084741834192485,0.04266555709430549
20,295,,,,,47.020235566430905,0.04616512243418851
21,296,,,,,47.08344527257696,0.02352615208223853
22,297,,,,,46.95041139271413,0.026285804034743353
23,299,,,,,47.04918819026955,0.021031531664700343
24,300,,,,,47.30552145723422,0.05273153873020313
25,303,,,,,47.19897675360028,0.04200285728958211
26,304,,,,,47.06752033413329,0.04626977478382494
27,305,,,,,47.07007056454037,0.04699081251719648
28,306,,,,,46.938573800665985,0.046580340686559245
29,307,,,,,47.07370614531389,0.047655715737120324
30,308,,,,,47.04613296687507,0.04825233489235033
31,309,,,,,46.90516223232578,0.027379245815509188
32,309,,,,,47.08148575180844,0.025481748904089715
33,310,,,,,46.97430504495291,0.01039082141537733
34,310,,,,,47.27037886650195,0.02090872424650331
35,311,,,,,47.190817267937426,0.019251774307597502
36,313,,,,,47.06849625803489,0.027432438670937326
37,314,,,,,47.126996213422814,0.02871136672611939
38,314,,,,,47.19225111841202,0.02241239378510888
39,315,,,,,47.26402277129121,0.028464527216543557
40,315,,,,,47.135478540965266,0.036204214217266106
41,317,,,,,47.067946234882236,0.029222294908378046
42,317,,,,,47.299447264429006,0.02199094122679504
43,319,,,,,46.982884528447286,0.03726566224809453
44,319,,,,,47.18763560256799,0.026209259708366774
45,320,,,,,47.033046901347504,0.037723842023910936
46,320,,,,,47.23988325684854,0.02239249286925765
47,321,,,,,46.940415077812624,0.03361941210766907
48,322,,,,,47.13299428707714,0.03430756152426455
49,322,,,,,47.255704647315,0.023696157798126942
50,323,,,,,47.11092640173756,0.022942726999419134
