,MPPC#,Gain@190K,Gain@190K_err,SPE_res@190K,SPE_res@190K_err,DCR@190K,DCR@190K_err,CTP@190K,CTP@190K_err
0,270,3279241.9427078036,1758.5975060193184,4.187919025629876,0.05367517859425067,6.070555555555555,0.04106416238155559,16.752081998718772,0.299158428145655
1,275,3335049.0917181214,2005.6928763080073,4.581669704301845,0.06020292046510157,2.2930555555555556,0.025238064041110796,16.741368867353117,0.48657448831785227
2,276,3264617.040740981,1390.347492144461,3.442161370054362,0.042613603042805724,7.091111111111111,0.04438190043722501,18.20745847696647,0.29036128414866635
3,277,3152103.4014985417,1559.4256148354343,4.543267772887233,0.04952357207810222,2.7391666666666667,0.027584046650729648,15.850319440219044,0.43152617922972114
4,278,3119625.196108482,1501.0603794857475,3.9115169430808927,0.04815348427002943,1.8425,0.022623119934163712,16.372682044323835,0.5359576042552332
5,279,3076419.5431203926,1490.9756996691108,4.398412321406568,0.048511499385945,2.243611111111111,0.02496448094076813,16.429367339358674,0.48664990993587054
6,280,3204858.4297567634,2077.212863339625,4.4297403393723,0.06487805821403456,1.7969444444444447,0.02234169274177544,15.860256608440254,0.5329712373629325
7,281,3156569.806839021,1509.9946407716045,3.7913248118615046,0.04787093645836925,4.699166666666667,0.03612926893910357,17.863687415026305,0.35278807183765076
8,282,2887961.8796612187,1984.369960746186,5.181309668964748,0.06880394955387575,2.0172222222222222,0.023671491422655216,14.073258055632056,0.4701767245205378
9,283,3007821.272398757,2186.8922000545354,4.49578434309928,0.07278029540727339,4.302777777777778,0.0773051113893097,12.588766946417044,0.6763919363839275
10,284,3059026.1260326323,2158.481819861208,4.609190650211748,0.07063598927756777,2.2587301587301587,0.042339614820155996,12.57905832747716,0.7053999481446762
11,285,3064699.0846492187,1888.8644574914538,3.798101410264634,0.06167738941249244,2.9095238095238094,0.048053573026097154,15.630114566284778,0.7021345247776931
12,286,2983569.3044810207,1948.3467213282845,4.236685435750666,0.06536112832325726,2.230952380952381,0.04207846394225893,15.688367129135539,0.8035322181757386
13,287,2935215.935862084,4022.5064150122034,5.451347879979047,0.13724642421007038,3.2888888888888888,0.06758625033664688,19.805743243243242,1.0010218153077182
14,288,2949885.8538062205,2212.805610696315,4.408054810536289,0.07508610540453478,6.980555555555556,0.09846428819314501,17.05133306804616,0.6301676559554826
15,289,2872198.977140009,2046.3353734877041,4.345109956181082,0.07131351959941674,2.819444444444444,0.0625771129226045,11.330049261083744,0.7882683341878138
16,290,2853334.751208027,1872.9039248514646,4.75895703239401,0.06571341101301653,3.6902777777777778,0.07159179982699929,12.34474971772676,0.7224732271382092
17,291,2994123.9290838465,1246.579660249549,3.7602350888034013,0.0416636281212535,6.170833333333333,0.09257754507358604,14.697276614899843,0.6159661272743238
18,292,3053581.107495107,3530.42475172893,4.465964082910682,0.11573112129589117,2.959722222222222,0.0641149382643544,18.395119662130455,1.0109425687610767
19,293,3017778.613335895,2773.72614998689,4.086458953897307,0.09198955374930806,2.6930555555555555,0.06115844126751111,13.408973697782361,0.8855897372811796
20,294,2858951.549736278,2131.554136620536,4.963862421734517,0.07464899336334926,4.227777777777778,0.07662841235629846,15.932982917214192,0.7789861323136275
21,295,3041625.060519368,2317.622435642297,4.686703332289771,0.07628048509816854,2.9705555555555554,0.040623990965626564,14.494108846081916,0.5570988189212375
22,296,3005923.508247949,1559.952384509001,3.9662165489922865,0.05193674698404521,3.742063492063492,0.054496712381279025,14.337221633085894,0.5896380052141839
23,297,3138982.9345321,1637.2657232913534,3.918600232024022,0.05219914533527953,3.2071428571428573,0.050451476429564504,13.709477852016827,0.6211040548992414
24,299,3212868.6189438687,3375.5683673475573,3.98456913182529,0.10514737171763992,2.3579365079365076,0.043259428809243314,18.613261528105017,0.8620382524451018
25,300,2935106.6027931767,1740.7033369574299,4.785508275414947,0.05937417655201145,3.8944444444444444,0.04651430153096551,14.693295292439373,0.4903087117123177
26,302,2966123.3832288077,1320.5069152563792,4.384534402595374,0.044562393248625966,4.945,0.05241395064505463,13.301876193686102,0.4114865089182982
27,303,2874076.6353012747,1400.6008438555766,4.113006812254129,0.048773405710712606,3.8344444444444448,0.04615459796791915,13.068675746160533,0.4626999650537344
