LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:13:52	0                 
Time	Ampl
-2.49024e-06	-0.01978
-2.48824e-06	-0.01962
-2.48624e-06	-0.0195
-2.48424e-06	-0.01934
-2.48224e-06	-0.01922
-2.48024e-06	-0.01938
-2.47824e-06	-0.0191
-2.47624e-06	-0.01892
-2.47424e-06	-0.01872
-2.47224e-06	-0.01882
-2.47024e-06	-0.01898
-2.46824e-06	-0.01906
-2.46624e-06	-0.01904
-2.46424e-06	-0.01918
-2.46224e-06	-0.01936
-2.46024e-06	-0.01926
-2.45824e-06	-0.01944
-2.45624e-06	-0.01976
-2.45424e-06	-0.01978
-2.45224e-06	-0.0196
-2.45024e-06	-0.0197
-2.44824e-06	-0.01992
-2.44624e-06	-0.0197
-2.44424e-06	-0.01994
-2.44224e-06	-0.01932
-2.44024e-06	-0.01914
-2.43824e-06	-0.01902
-2.43624e-06	-0.01934
-2.43424e-06	-0.01876
-2.43224e-06	-0.01874
-2.43024e-06	-0.0183
-2.42824e-06	-0.01818
-2.42624e-06	-0.0184
-2.42424e-06	-0.01816
-2.42224e-06	-0.01828
-2.42024e-06	-0.0182
-2.41824e-06	-0.01816
-2.41624e-06	-0.0184
-2.41424e-06	-0.0182
-2.41224e-06	-0.0184
-2.41024e-06	-0.01846
-2.40824e-06	-0.01858
-2.40624e-06	-0.01838
-2.40424e-06	-0.01808
-2.40224e-06	-0.01792
-2.40024e-06	-0.01794
-2.39824e-06	-0.01742
-2.39624e-06	-0.01752
-2.39424e-06	-0.01768
-2.39224e-06	-0.01788
-2.39024e-06	-0.01756
-2.38824e-06	-0.01746
-2.38624e-06	-0.01744
-2.38424e-06	-0.01798
-2.38224e-06	-0.018
-2.38024e-06	-0.0179
-2.37824e-06	-0.01738
-2.37624e-06	-0.01782
-2.37424e-06	-0.0179
-2.37224e-06	-0.01776
-2.37024e-06	-0.01752
-2.36824e-06	-0.0178
-2.36624e-06	-0.01784
-2.36424e-06	-0.01796
-2.36224e-06	-0.01794
-2.36024e-06	-0.01782
-2.35824e-06	-0.01782
-2.35624e-06	-0.01816
-2.35424e-06	-0.01804
-2.35224e-06	-0.01848
-2.35024e-06	-0.0185
-2.34824e-06	-0.01844
-2.34624e-06	-0.01824
-2.34424e-06	-0.01812
-2.34224e-06	-0.01794
-2.34024e-06	-0.01814
-2.33824e-06	-0.01798
-2.33624e-06	-0.01768
-2.33424e-06	-0.01752
-2.33224e-06	-0.0178
-2.33024e-06	-0.01788
-2.32824e-06	-0.01802
-2.32624e-06	-0.01826
-2.32424e-06	-0.01808
-2.32224e-06	-0.01778
-2.32024e-06	-0.01822
-2.31824e-06	-0.01824
-2.31624e-06	-0.01836
-2.31424e-06	-0.01836
-2.31224e-06	-0.0182
-2.31024e-06	-0.01814
-2.30824e-06	-0.01806
-2.30624e-06	-0.01794
-2.30424e-06	-0.01808
-2.30224e-06	-0.01816
-2.30024e-06	-0.01804
-2.29824e-06	-0.01784
-2.29624e-06	-0.0179
-2.29424e-06	-0.01818
-2.29224e-06	-0.01792
-2.29024e-06	-0.01762
-2.28824e-06	-0.018
-2.28624e-06	-0.01786
-2.28424e-06	-0.01794
-2.28224e-06	-0.01788
-2.28024e-06	-0.0181
-2.27824e-06	-0.01814
-2.27624e-06	-0.01816
-2.27424e-06	-0.01782
-2.27224e-06	-0.01792
-2.27024e-06	-0.01792
-2.26824e-06	-0.01822
-2.26624e-06	-0.01836
-2.26424e-06	-0.01838
-2.26224e-06	-0.01812
-2.26024e-06	-0.0184
-2.25824e-06	-0.01838
-2.25624e-06	-0.01858
-2.25424e-06	-0.01818
-2.25224e-06	-0.01828
-2.25024e-06	-0.01816
-2.24824e-06	-0.01828
-2.24624e-06	-0.01798
-2.24424e-06	-0.0179
-2.24224e-06	-0.01764
-2.24024e-06	-0.01784
-2.23824e-06	-0.01816
-2.23624e-06	-0.01806
-2.23424e-06	-0.01804
-2.23224e-06	-0.01806
-2.23024e-06	-0.01818
-2.22824e-06	-0.01832
-2.22624e-06	-0.01824
-2.22424e-06	-0.01796
-2.22224e-06	-0.0181
-2.22024e-06	-0.01786
-2.21824e-06	-0.01774
-2.21624e-06	-0.0178
-2.21424e-06	-0.01766
-2.21224e-06	-0.01788
-2.21024e-06	-0.01796
-2.20824e-06	-0.01838
-2.20624e-06	-0.0183
-2.20424e-06	-0.01846
-2.20224e-06	-0.01826
-2.20024e-06	-0.01866
-2.19824e-06	-0.01866
-2.19624e-06	-0.0185
-2.19424e-06	-0.01888
-2.19224e-06	-0.01888
-2.19024e-06	-0.01896
-2.18824e-06	-0.01878
-2.18624e-06	-0.0188
-2.18424e-06	-0.01898
-2.18224e-06	-0.0192
-2.18024e-06	-0.01914
-2.17824e-06	-0.0193
-2.17624e-06	-0.01942
-2.17424e-06	-0.01946
-2.17224e-06	-0.01958
-2.17024e-06	-0.01952
-2.16824e-06	-0.01962
-2.16624e-06	-0.01966
-2.16424e-06	-0.01984
-2.16224e-06	-0.01986
-2.16024e-06	-0.02006
-2.15824e-06	-0.01982
-2.15624e-06	-0.01966
-2.15424e-06	-0.0194
-2.15224e-06	-0.0195
-2.15024e-06	-0.0193
-2.14824e-06	-0.0193
-2.14624e-06	-0.01916
-2.14424e-06	-0.01918
-2.14224e-06	-0.01904
-2.14024e-06	-0.01864
-2.13824e-06	-0.01862
-2.13624e-06	-0.01892
-2.13424e-06	-0.01886
-2.13224e-06	-0.01888
-2.13024e-06	-0.01888
-2.12824e-06	-0.019
-2.12624e-06	-0.01918
-2.12424e-06	-0.01886
-2.12224e-06	-0.0188
-2.12024e-06	-0.01918
-2.11824e-06	-0.01888
-2.11624e-06	-0.01864
-2.11424e-06	-0.01812
-2.11224e-06	-0.01836
-2.11024e-06	-0.018
-2.10824e-06	-0.0182
-2.10624e-06	-0.01792
-2.10424e-06	-0.01776
-2.10224e-06	-0.01766
-2.10024e-06	-0.01736
-2.09824e-06	-0.01724
-2.09624e-06	-0.0175
-2.09424e-06	-0.01724
-2.09224e-06	-0.01764
-2.09024e-06	-0.01746
-2.08824e-06	-0.01792
-2.08624e-06	-0.0178
-2.08424e-06	-0.01756
-2.08224e-06	-0.01752
-2.08024e-06	-0.01772
-2.07824e-06	-0.01758
-2.07624e-06	-0.01738
-2.07424e-06	-0.0168
-2.07224e-06	-0.01684
-2.07024e-06	-0.01688
-2.06824e-06	-0.01644
-2.06624e-06	-0.01664
-2.06424e-06	-0.01682
-2.06224e-06	-0.0168
-2.06024e-06	-0.01706
-2.05824e-06	-0.0168
-2.05624e-06	-0.0169
-2.05424e-06	-0.0171
-2.05224e-06	-0.01738
-2.05024e-06	-0.01698
-2.04824e-06	-0.01728
-2.04624e-06	-0.01766
-2.04424e-06	-0.01776
-2.04224e-06	-0.0174
-2.04024e-06	-0.01748
-2.03824e-06	-0.01824
-2.03624e-06	-0.0186
-2.03424e-06	-0.01848
-2.03224e-06	-0.01854
-2.03024e-06	-0.01828
-2.02824e-06	-0.01838
-2.02624e-06	-0.01824
-2.02424e-06	-0.0186
-2.02224e-06	-0.01824
-2.02024e-06	-0.01796
-2.01824e-06	-0.01736
-2.01624e-06	-0.01736
-2.01424e-06	-0.01768
-2.01224e-06	-0.0179
-2.01024e-06	-0.01762
-2.00824e-06	-0.01768
-2.00624e-06	-0.01758
-2.00424e-06	-0.01742
-2.00224e-06	-0.01736
-2.00024e-06	-0.01778
-1.99824e-06	-0.01754
-1.99624e-06	-0.01774
-1.99424e-06	-0.0173
-1.99224e-06	-0.0173
-1.99024e-06	-0.01726
-1.98824e-06	-0.01766
-1.98624e-06	-0.01766
-1.98424e-06	-0.0178
-1.98224e-06	-0.01756
-1.98024e-06	-0.0178
-1.97824e-06	-0.0177
-1.97624e-06	-0.0177
-1.97424e-06	-0.0178
-1.97224e-06	-0.01816
-1.97024e-06	-0.01784
-1.96824e-06	-0.01836
-1.96624e-06	-0.01862
-1.96424e-06	-0.01852
-1.96224e-06	-0.01856
-1.96024e-06	-0.0188
-1.95824e-06	-0.01858
-1.95624e-06	-0.0183
-1.95424e-06	-0.01818
-1.95224e-06	-0.01872
-1.95024e-06	-0.01864
-1.94824e-06	-0.0189
-1.94624e-06	-0.01876
-1.94424e-06	-0.01892
-1.94224e-06	-0.01882
-1.94024e-06	-0.01858
-1.93824e-06	-0.01842
-1.93624e-06	-0.01848
-1.93424e-06	-0.01868
-1.93224e-06	-0.01902
-1.93024e-06	-0.0186
-1.92824e-06	-0.01858
-1.92624e-06	-0.01824
-1.92424e-06	-0.018
-1.92224e-06	-0.01794
-1.92024e-06	-0.0179
-1.91824e-06	-0.01792
-1.91624e-06	-0.0177
-1.91424e-06	-0.01776
-1.91224e-06	-0.0182
-1.91024e-06	-0.01804
-1.90824e-06	-0.01808
-1.90624e-06	-0.01804
-1.90424e-06	-0.01814
-1.90224e-06	-0.01806
-1.90024e-06	-0.01834
-1.89824e-06	-0.01826
-1.89624e-06	-0.01836
-1.89424e-06	-0.0184
-1.89224e-06	-0.01858
-1.89024e-06	-0.01862
-1.88824e-06	-0.01916
-1.88624e-06	-0.01912
-1.88424e-06	-0.01912
-1.88224e-06	-0.01908
-1.88024e-06	-0.01952
-1.87824e-06	-0.0194
-1.87624e-06	-0.0198
-1.87424e-06	-0.02004
-1.87224e-06	-0.02004
-1.87024e-06	-0.0199
-1.86824e-06	-0.0202
-1.86624e-06	-0.02054
-1.86424e-06	-0.02078
-1.86224e-06	-0.02078
-1.86024e-06	-0.02078
-1.85824e-06	-0.02076
-1.85624e-06	-0.02078
-1.85424e-06	-0.0209
-1.85224e-06	-0.02076
-1.85024e-06	-0.02028
-1.84824e-06	-0.0201
-1.84624e-06	-0.01978
-1.84424e-06	-0.01968
-1.84224e-06	-0.01952
-1.84024e-06	-0.0197
-1.83824e-06	-0.01964
-1.83624e-06	-0.01974
-1.83424e-06	-0.0196
-1.83224e-06	-0.01968
-1.83024e-06	-0.01968
-1.82824e-06	-0.01958
-1.82624e-06	-0.01948
-1.82424e-06	-0.01974
-1.82224e-06	-0.0196
-1.82024e-06	-0.01946
-1.81824e-06	-0.0193
-1.81624e-06	-0.0193
-1.81424e-06	-0.01934
-1.81224e-06	-0.01906
-1.81024e-06	-0.01906
-1.80824e-06	-0.01906
-1.80624e-06	-0.01868
-1.80424e-06	-0.01842
-1.80224e-06	-0.018
-1.80024e-06	-0.01784
-1.79824e-06	-0.01746
-1.79624e-06	-0.01706
-1.79424e-06	-0.01662
-1.79224e-06	-0.01654
-1.79024e-06	-0.0163
-1.78824e-06	-0.0162
-1.78624e-06	-0.01592
-1.78424e-06	-0.01622
-1.78224e-06	-0.01628
-1.78024e-06	-0.0163
-1.77824e-06	-0.01608
-1.77624e-06	-0.01592
-1.77424e-06	-0.01618
-1.77224e-06	-0.01598
-1.77024e-06	-0.0159
-1.76824e-06	-0.01598
-1.76624e-06	-0.01608
-1.76424e-06	-0.01606
-1.76224e-06	-0.01602
-1.76024e-06	-0.0164
-1.75824e-06	-0.01662
-1.75624e-06	-0.01656
-1.75424e-06	-0.01658
-1.75224e-06	-0.01712
-1.75024e-06	-0.01706
