LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:48:52	0                 
Time	Ampl
-2.501209e-06	-0.02124
-2.499209e-06	-0.02063
-2.497209e-06	-0.02124
-2.495209e-06	-0.02063
-2.493209e-06	-0.02002
-2.491209e-06	-0.02185
-2.489209e-06	-0.02063
-2.487209e-06	-0.02002
-2.485209e-06	-0.02124
-2.483209e-06	-0.02307
-2.481209e-06	-0.02307
-2.479209e-06	-0.02246
-2.477209e-06	-0.02124
-2.475209e-06	-0.02368
-2.473209e-06	-0.0249
-2.471209e-06	-0.02002
-2.469209e-06	-0.02307
-2.467209e-06	-0.02368
-2.465209e-06	-0.02124
-2.463209e-06	-0.02368
-2.461209e-06	-0.02185
-2.459209e-06	-0.02612
-2.457209e-06	-0.02551
-2.455209e-06	-0.02429
-2.453209e-06	-0.02246
-2.451209e-06	-0.02368
-2.449209e-06	-0.0249
-2.447209e-06	-0.02246
-2.445209e-06	-0.02307
-2.443209e-06	-0.02429
-2.441209e-06	-0.02246
-2.439209e-06	-0.02246
-2.437209e-06	-0.02063
-2.435209e-06	-0.02246
-2.433209e-06	-0.02551
-2.431209e-06	-0.02551
-2.429209e-06	-0.02063
-2.427209e-06	-0.02429
-2.425209e-06	-0.02429
-2.423209e-06	-0.02368
-2.421209e-06	-0.02185
-2.419209e-06	-0.02307
-2.417209e-06	-0.02551
-2.415209e-06	-0.02551
-2.413209e-06	-0.02124
-2.411209e-06	-0.02429
-2.409209e-06	-0.02307
-2.407209e-06	-0.0249
-2.405209e-06	-0.0249
-2.403209e-06	-0.02795
-2.401209e-06	-0.02307
-2.399209e-06	-0.02368
-2.397209e-06	-0.02368
-2.395209e-06	-0.0249
-2.393209e-06	-0.02734
-2.391209e-06	-0.02612
-2.389209e-06	-0.02368
-2.387209e-06	-0.02551
-2.385209e-06	-0.02368
-2.383209e-06	-0.02429
-2.381209e-06	-0.02246
-2.379209e-06	-0.02612
-2.377209e-06	-0.02612
-2.375209e-06	-0.02612
-2.373209e-06	-0.02429
-2.371209e-06	-0.02795
-2.369209e-06	-0.02673
-2.367209e-06	-0.02368
-2.365209e-06	-0.02307
-2.363209e-06	-0.02551
-2.361209e-06	-0.02856
-2.359209e-06	-0.02551
-2.357209e-06	-0.02429
-2.355209e-06	-0.02551
-2.353209e-06	-0.02368
-2.351209e-06	-0.02795
-2.349209e-06	-0.02429
-2.347209e-06	-0.02429
-2.345209e-06	-0.0249
-2.343209e-06	-0.02429
-2.341209e-06	-0.0249
-2.339209e-06	-0.02734
-2.337209e-06	-0.02734
-2.335209e-06	-0.02734
-2.333209e-06	-0.0249
-2.331209e-06	-0.02917
-2.329209e-06	-0.02673
-2.327209e-06	-0.0249
-2.325209e-06	-0.02551
-2.323209e-06	-0.02795
-2.321209e-06	-0.0249
-2.319209e-06	-0.02368
-2.317209e-06	-0.02429
-2.315209e-06	-0.0249
-2.313209e-06	-0.02551
-2.311209e-06	-0.02612
-2.309209e-06	-0.02246
-2.307209e-06	-0.02551
-2.305209e-06	-0.02185
-2.303209e-06	-0.02307
-2.301209e-06	-0.02368
-2.299209e-06	-0.02185
-2.297209e-06	-0.02307
-2.295209e-06	-0.02063
-2.293209e-06	-0.02246
-2.291209e-06	-0.02307
-2.289209e-06	-0.02185
-2.287209e-06	-0.02246
-2.285209e-06	-0.02124
-2.283209e-06	-0.02185
-2.281209e-06	-0.02307
-2.279209e-06	-0.02185
-2.277209e-06	-0.02246
-2.275209e-06	-0.02307
-2.273209e-06	-0.02124
-2.271209e-06	-0.02429
-2.269209e-06	-0.02246
-2.267209e-06	-0.02551
-2.265209e-06	-0.02368
-2.263209e-06	-0.02551
-2.261209e-06	-0.02124
-2.259209e-06	-0.02124
-2.257209e-06	-0.02429
-2.255209e-06	-0.02246
-2.253209e-06	-0.02307
-2.251209e-06	-0.02185
-2.249209e-06	-0.02124
-2.247209e-06	-0.02307
-2.245209e-06	-0.0188
-2.243209e-06	-0.02124
-2.241209e-06	-0.02124
-2.239209e-06	-0.02368
-2.237209e-06	-0.02307
-2.235209e-06	-0.0249
-2.233209e-06	-0.02307
-2.231209e-06	-0.02368
-2.229209e-06	-0.02246
-2.227209e-06	-0.02246
-2.225209e-06	-0.02307
-2.223209e-06	-0.02124
-2.221209e-06	-0.02063
-2.219209e-06	-0.0249
-2.217209e-06	-0.02246
-2.215209e-06	-0.02185
-2.213209e-06	-0.02002
-2.211209e-06	-0.02307
-2.209209e-06	-0.02612
-2.207209e-06	-0.02368
-2.205209e-06	-0.02368
-2.203209e-06	-0.02551
-2.201209e-06	-0.02429
-2.199209e-06	-0.02551
-2.197209e-06	-0.02246
-2.195209e-06	-0.02185
-2.193209e-06	-0.02307
-2.191209e-06	-0.0249
-2.189209e-06	-0.02307
-2.187209e-06	-0.02368
-2.185209e-06	-0.02612
-2.183209e-06	-0.0249
-2.181209e-06	-0.02246
-2.179209e-06	-0.02551
-2.177209e-06	-0.02429
-2.175209e-06	-0.02124
-2.173209e-06	-0.02307
-2.171209e-06	-0.02307
-2.169209e-06	-0.0249
-2.167209e-06	-0.02307
-2.165209e-06	-0.02307
-2.163209e-06	-0.02246
-2.161209e-06	-0.02246
-2.159209e-06	-0.0249
-2.157209e-06	-0.02246
-2.155209e-06	-0.02368
-2.153209e-06	-0.0249
-2.151209e-06	-0.02185
-2.149209e-06	-0.02429
-2.147209e-06	-0.02368
-2.145209e-06	-0.02307
-2.143209e-06	-0.02307
-2.141209e-06	-0.02124
-2.139209e-06	-0.02429
-2.137209e-06	-0.02368
-2.135209e-06	-0.02307
-2.133209e-06	-0.02368
-2.131209e-06	-0.02429
-2.129209e-06	-0.02429
-2.127209e-06	-0.02246
-2.125209e-06	-0.0249
-2.123209e-06	-0.02612
-2.121209e-06	-0.02673
-2.119209e-06	-0.02368
-2.117209e-06	-0.02429
-2.115209e-06	-0.02612
-2.113209e-06	-0.02612
-2.111209e-06	-0.0249
-2.109209e-06	-0.0249
-2.107209e-06	-0.02734
-2.105209e-06	-0.02734
-2.103209e-06	-0.02429
-2.101209e-06	-0.02246
-2.099209e-06	-0.02612
-2.097209e-06	-0.02795
-2.095209e-06	-0.02673
-2.093209e-06	-0.02429
-2.091209e-06	-0.02612
-2.089209e-06	-0.02612
-2.087209e-06	-0.02673
-2.085209e-06	-0.02368
-2.083209e-06	-0.02551
-2.081209e-06	-0.02734
-2.079209e-06	-0.02551
-2.077209e-06	-0.02429
-2.075209e-06	-0.0249
-2.073209e-06	-0.02734
-2.071209e-06	-0.02551
-2.069209e-06	-0.02551
-2.067209e-06	-0.02551
-2.065209e-06	-0.02673
-2.063209e-06	-0.02612
-2.061209e-06	-0.0249
-2.059209e-06	-0.02551
-2.057209e-06	-0.02856
-2.055209e-06	-0.02551
-2.053209e-06	-0.0249
-2.051209e-06	-0.02673
-2.049209e-06	-0.02734
-2.047209e-06	-0.02795
-2.045209e-06	-0.02673
-2.043209e-06	-0.02795
-2.041209e-06	-0.02673
-2.039209e-06	-0.02673
-2.037209e-06	-0.02429
-2.035209e-06	-0.02551
-2.033209e-06	-0.02673
-2.031209e-06	-0.02185
-2.029209e-06	-0.02368
-2.027209e-06	-0.02612
-2.025209e-06	-0.02612
-2.023209e-06	-0.02429
-2.021209e-06	-0.02673
-2.019209e-06	-0.02612
-2.017209e-06	-0.0249
-2.015209e-06	-0.02612
-2.013209e-06	-0.02429
-2.011209e-06	-0.03039
-2.009209e-06	-0.02734
-2.007209e-06	-0.02307
-2.005209e-06	-0.02307
-2.003209e-06	-0.02429
-2.001209e-06	-0.02612
-1.999209e-06	-0.02307
-1.997209e-06	-0.02429
-1.995209e-06	-0.02673
-1.993209e-06	-0.02246
-1.991209e-06	-0.02307
-1.989209e-06	-0.02429
-1.987209e-06	-0.02429
-1.985209e-06	-0.02246
-1.983209e-06	-0.02551
-1.981209e-06	-0.02307
-1.979209e-06	-0.02429
-1.977209e-06	-0.02795
-1.975209e-06	-0.02612
-1.973209e-06	-0.02185
-1.971209e-06	-0.02551
-1.969209e-06	-0.02795
-1.967209e-06	-0.02673
-1.965209e-06	-0.02429
-1.963209e-06	-0.02551
-1.961209e-06	-0.02185
-1.959209e-06	-0.02307
-1.957209e-06	-0.02246
-1.955209e-06	-0.02856
-1.953209e-06	-0.02734
-1.951209e-06	-0.0249
-1.949209e-06	-0.0249
-1.947209e-06	-0.02734
-1.945209e-06	-0.02917
-1.943209e-06	-0.02673
-1.941209e-06	-0.0249
-1.939209e-06	-0.02734
-1.937209e-06	-0.02673
-1.935209e-06	-0.031
-1.933209e-06	-0.02673
-1.931209e-06	-0.02856
-1.929209e-06	-0.02978
-1.927209e-06	-0.02856
-1.925209e-06	-0.02856
-1.923209e-06	-0.02795
-1.921209e-06	-0.02612
-1.919209e-06	-0.02795
-1.917209e-06	-0.02612
-1.915209e-06	-0.02551
-1.913209e-06	-0.02795
-1.911209e-06	-0.02795
-1.909209e-06	-0.02795
-1.907209e-06	-0.02917
-1.905209e-06	-0.02917
-1.903209e-06	-0.0249
-1.901209e-06	-0.02368
-1.899209e-06	-0.02551
-1.897209e-06	-0.02612
-1.895209e-06	-0.02368
-1.893209e-06	-0.02185
-1.891209e-06	-0.0249
-1.889209e-06	-0.02551
-1.887209e-06	-0.02673
-1.885209e-06	-0.02551
-1.883209e-06	-0.02429
-1.881209e-06	-0.02612
-1.879209e-06	-0.02612
-1.877209e-06	-0.02307
-1.875209e-06	-0.02612
-1.873209e-06	-0.02551
-1.871209e-06	-0.02307
-1.869209e-06	-0.02429
-1.867209e-06	-0.02673
-1.865209e-06	-0.02307
-1.863209e-06	-0.02124
-1.861209e-06	-0.02246
-1.859209e-06	-0.02551
-1.857209e-06	-0.02429
-1.855209e-06	-0.0249
-1.853209e-06	-0.02124
-1.851209e-06	-0.02368
-1.849209e-06	-0.02551
-1.847209e-06	-0.02185
-1.845209e-06	-0.0249
-1.843209e-06	-0.02795
-1.841209e-06	-0.02673
