LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:37:43	0                 
Time	Ampl
-2.500143e-06	-0.022055
-2.498143e-06	-0.021653
-2.496143e-06	-0.021787
-2.494143e-06	-0.021653
-2.492143e-06	-0.022055
-2.490143e-06	-0.021921
-2.488143e-06	-0.021921
-2.486143e-06	-0.021653
-2.484143e-06	-0.022055
-2.482143e-06	-0.021988
-2.480143e-06	-0.021586
-2.478143e-06	-0.021452
-2.476143e-06	-0.021519
-2.474143e-06	-0.021318
-2.472143e-06	-0.021519
-2.470143e-06	-0.021184
-2.468143e-06	-0.021117
-2.466143e-06	-0.02105
-2.464143e-06	-0.02105
-2.462143e-06	-0.021385
-2.460143e-06	-0.021385
-2.458143e-06	-0.021385
-2.456143e-06	-0.021988
-2.454143e-06	-0.022055
-2.452143e-06	-0.022189
-2.450143e-06	-0.021921
-2.448143e-06	-0.021988
-2.446143e-06	-0.021854
-2.444143e-06	-0.021787
-2.442143e-06	-0.021452
-2.440143e-06	-0.022055
-2.438143e-06	-0.022189
-2.436143e-06	-0.022055
-2.434143e-06	-0.021854
-2.432143e-06	-0.021921
-2.430143e-06	-0.021653
-2.428143e-06	-0.022256
-2.426143e-06	-0.022457
-2.424143e-06	-0.022189
-2.422143e-06	-0.022055
-2.420143e-06	-0.02239
-2.418143e-06	-0.021988
-2.416143e-06	-0.021988
-2.414143e-06	-0.021921
-2.412143e-06	-0.021854
-2.410143e-06	-0.021519
-2.408143e-06	-0.021787
-2.406143e-06	-0.021586
-2.404143e-06	-0.021586
-2.402143e-06	-0.021385
-2.400143e-06	-0.021519
-2.398143e-06	-0.020916
-2.396143e-06	-0.021117
-2.394143e-06	-0.020983
-2.392143e-06	-0.020916
-2.390143e-06	-0.021117
-2.388143e-06	-0.020782
-2.386143e-06	-0.020313
-2.384143e-06	-0.020179
-2.382143e-06	-0.020313
-2.380143e-06	-0.020514
-2.378143e-06	-0.019911
-2.376143e-06	-0.019777
-2.374143e-06	-0.019576
-2.372143e-06	-0.019509
-2.370143e-06	-0.019375
-2.368143e-06	-0.019308
-2.366143e-06	-0.019174
