LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:59:39	0                 
Time	Ampl
-2.500476e-06	-0.022688
-2.498476e-06	-0.021472
-2.496476e-06	-0.02208
-2.494476e-06	-0.020864
-2.492476e-06	-0.021776
-2.490476e-06	-0.02208
-2.488476e-06	-0.019344
-2.486476e-06	-0.021776
-2.484476e-06	-0.020864
-2.482476e-06	-0.022992
-2.480476e-06	-0.02056
-2.478476e-06	-0.022384
-2.476476e-06	-0.02208
-2.474476e-06	-0.020864
-2.472476e-06	-0.018432
-2.470476e-06	-0.022688
-2.468476e-06	-0.022992
-2.466476e-06	-0.0236
-2.464476e-06	-0.023904
-2.462476e-06	-0.022992
-2.460476e-06	-0.021776
-2.458476e-06	-0.0236
-2.456476e-06	-0.0236
-2.454476e-06	-0.02512
-2.452476e-06	-0.026336
-2.450476e-06	-0.02512
-2.448476e-06	-0.024816
-2.446476e-06	-0.023904
-2.444476e-06	-0.023296
-2.442476e-06	-0.024512
-2.440476e-06	-0.024816
-2.438476e-06	-0.026032
-2.436476e-06	-0.0236
-2.434476e-06	-0.02664
-2.432476e-06	-0.02512
-2.430476e-06	-0.02512
-2.428476e-06	-0.026032
-2.426476e-06	-0.02816
-2.424476e-06	-0.026032
-2.422476e-06	-0.024208
-2.420476e-06	-0.02664
-2.418476e-06	-0.026336
-2.416476e-06	-0.02664
-2.414476e-06	-0.026032
-2.412476e-06	-0.024208
-2.410476e-06	-0.029376
-2.408476e-06	-0.02816
-2.406476e-06	-0.026032
-2.404476e-06	-0.024816
-2.402476e-06	-0.025728
-2.400476e-06	-0.026032
-2.398476e-06	-0.024816
-2.396476e-06	-0.025728
-2.394476e-06	-0.026032
-2.392476e-06	-0.026032
-2.390476e-06	-0.026336
-2.388476e-06	-0.026336
-2.386476e-06	-0.02512
-2.384476e-06	-0.024816
-2.382476e-06	-0.023296
-2.380476e-06	-0.02664
-2.378476e-06	-0.027856
-2.376476e-06	-0.026944
-2.374476e-06	-0.0236
-2.372476e-06	-0.023904
-2.370476e-06	-0.027552
-2.368476e-06	-0.026944
-2.366476e-06	-0.024208
-2.364476e-06	-0.024208
-2.362476e-06	-0.025728
-2.360476e-06	-0.02664
-2.358476e-06	-0.027552
-2.356476e-06	-0.025424
-2.354476e-06	-0.0236
-2.352476e-06	-0.027856
-2.350476e-06	-0.029072
-2.348476e-06	-0.026336
-2.346476e-06	-0.026944
-2.344476e-06	-0.025728
-2.342476e-06	-0.025728
-2.340476e-06	-0.02512
-2.338476e-06	-0.02664
-2.336476e-06	-0.026032
-2.334476e-06	-0.025728
-2.332476e-06	-0.026032
-2.330476e-06	-0.027552
-2.328476e-06	-0.025424
-2.326476e-06	-0.026336
-2.324476e-06	-0.02512
-2.322476e-06	-0.026944
-2.320476e-06	-0.026944
-2.318476e-06	-0.026944
-2.316476e-06	-0.026032
-2.314476e-06	-0.028768
-2.312476e-06	-0.02816
-2.310476e-06	-0.027856
-2.308476e-06	-0.029984
-2.306476e-06	-0.029376
-2.304476e-06	-0.024816
-2.302476e-06	-0.024208
-2.300476e-06	-0.026336
-2.298476e-06	-0.028768
-2.296476e-06	-0.025728
-2.294476e-06	-0.023296
-2.292476e-06	-0.023904
-2.290476e-06	-0.02816
-2.288476e-06	-0.024512
-2.286476e-06	-0.02208
-2.284476e-06	-0.021472
-2.282476e-06	-0.025728
-2.280476e-06	-0.026032
-2.278476e-06	-0.022992
-2.276476e-06	-0.019344
-2.274476e-06	-0.024208
-2.272476e-06	-0.02512
-2.270476e-06	-0.022992
-2.268476e-06	-0.02056
-2.266476e-06	-0.024208
-2.264476e-06	-0.024208
-2.262476e-06	-0.023904
-2.260476e-06	-0.022992
-2.258476e-06	-0.022992
-2.256476e-06	-0.024512
-2.254476e-06	-0.024512
-2.252476e-06	-0.021472
-2.250476e-06	-0.026336
-2.248476e-06	-0.024816
-2.246476e-06	-0.022384
-2.244476e-06	-0.022384
-2.242476e-06	-0.022992
-2.240476e-06	-0.021776
-2.238476e-06	-0.0236
-2.236476e-06	-0.024816
-2.234476e-06	-0.026032
-2.232476e-06	-0.0236
-2.230476e-06	-0.026032
-2.228476e-06	-0.023904
-2.226476e-06	-0.026336
-2.224476e-06	-0.02664
-2.222476e-06	-0.02512
-2.220476e-06	-0.025728
-2.218476e-06	-0.027552
-2.216476e-06	-0.025424
-2.214476e-06	-0.025728
