LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:49:37	0                 
Time	Ampl
-2.500528e-06	-0.02358
-2.498528e-06	-0.02645
-2.496528e-06	-0.02768
-2.494528e-06	-0.02768
-2.492528e-06	-0.02481
-2.490528e-06	-0.02727
-2.488528e-06	-0.02809
-2.486528e-06	-0.02809
-2.484528e-06	-0.02645
-2.482528e-06	-0.02768
-2.480528e-06	-0.02645
-2.478528e-06	-0.02727
-2.476528e-06	-0.02522
-2.474528e-06	-0.02891
-2.472528e-06	-0.02604
-2.470528e-06	-0.02768
-2.468528e-06	-0.02358
-2.466528e-06	-0.02563
-2.464528e-06	-0.02399
-2.462528e-06	-0.02481
-2.460528e-06	-0.02563
-2.458528e-06	-0.02686
-2.456528e-06	-0.02399
-2.454528e-06	-0.02399
-2.452528e-06	-0.0244
-2.450528e-06	-0.02604
-2.448528e-06	-0.02481
-2.446528e-06	-0.02563
-2.444528e-06	-0.02522
-2.442528e-06	-0.02727
-2.440528e-06	-0.0244
-2.438528e-06	-0.02481
-2.436528e-06	-0.02481
-2.434528e-06	-0.02727
-2.432528e-06	-0.02276
-2.430528e-06	-0.02194
-2.428528e-06	-0.02358
-2.426528e-06	-0.02604
-2.424528e-06	-0.02563
-2.422528e-06	-0.02399
-2.420528e-06	-0.02235
-2.418528e-06	-0.0244
-2.416528e-06	-0.02235
-2.414528e-06	-0.02481
-2.412528e-06	-0.02112
-2.410528e-06	-0.02358
-2.408528e-06	-0.02399
-2.406528e-06	-0.02399
-2.404528e-06	-0.02399
-2.402528e-06	-0.0244
-2.400528e-06	-0.02399
-2.398528e-06	-0.02194
-2.396528e-06	-0.02358
-2.394528e-06	-0.02276
-2.392528e-06	-0.02317
-2.390528e-06	-0.02522
-2.388528e-06	-0.02358
-2.386528e-06	-0.02317
-2.384528e-06	-0.02358
-2.382528e-06	-0.02194
-2.380528e-06	-0.02399
-2.378528e-06	-0.02276
-2.376528e-06	-0.02604
-2.374528e-06	-0.0244
-2.372528e-06	-0.02358
-2.370528e-06	-0.02235
-2.368528e-06	-0.02317
-2.366528e-06	-0.02276
-2.364528e-06	-0.02235
-2.362528e-06	-0.0244
-2.360528e-06	-0.02153
-2.358528e-06	-0.02235
-2.356528e-06	-0.02276
-2.354528e-06	-0.0244
-2.352528e-06	-0.02194
-2.350528e-06	-0.02563
-2.348528e-06	-0.02235
-2.346528e-06	-0.02317
-2.344528e-06	-0.02317
-2.342528e-06	-0.02358
-2.340528e-06	-0.02276
-2.338528e-06	-0.0244
-2.336528e-06	-0.02276
-2.334528e-06	-0.02604
-2.332528e-06	-0.02604
-2.330528e-06	-0.02399
-2.328528e-06	-0.02358
-2.326528e-06	-0.02481
-2.324528e-06	-0.02563
-2.322528e-06	-0.02481
-2.320528e-06	-0.02358
-2.318528e-06	-0.02522
-2.316528e-06	-0.02481
-2.314528e-06	-0.02604
-2.312528e-06	-0.02768
-2.310528e-06	-0.02686
-2.308528e-06	-0.02563
-2.306528e-06	-0.02522
-2.304528e-06	-0.02317
-2.302528e-06	-0.02276
-2.300528e-06	-0.02276
-2.298528e-06	-0.02481
-2.296528e-06	-0.02235
-2.294528e-06	-0.0244
-2.292528e-06	-0.02522
-2.290528e-06	-0.02481
-2.288528e-06	-0.02563
-2.286528e-06	-0.02481
-2.284528e-06	-0.02481
-2.282528e-06	-0.02727
-2.280528e-06	-0.02399
-2.278528e-06	-0.02358
-2.276528e-06	-0.02276
-2.274528e-06	-0.02645
-2.272528e-06	-0.02399
-2.270528e-06	-0.0244
-2.268528e-06	-0.02563
-2.266528e-06	-0.02645
-2.264528e-06	-0.0244
-2.262528e-06	-0.02481
-2.260528e-06	-0.0244
-2.258528e-06	-0.02522
-2.256528e-06	-0.02522
-2.254528e-06	-0.02604
-2.252528e-06	-0.0244
-2.250528e-06	-0.0244
-2.248528e-06	-0.02399
-2.246528e-06	-0.02645
-2.244528e-06	-0.02481
-2.242528e-06	-0.02604
-2.240528e-06	-0.02522
-2.238528e-06	-0.0244
-2.236528e-06	-0.02563
-2.234528e-06	-0.02768
-2.232528e-06	-0.02317
-2.230528e-06	-0.0244
-2.228528e-06	-0.02563
-2.226528e-06	-0.02686
-2.224528e-06	-0.02522
-2.222528e-06	-0.02686
-2.220528e-06	-0.02481
-2.218528e-06	-0.02645
-2.216528e-06	-0.02317
-2.214528e-06	-0.02399
-2.212528e-06	-0.02358
-2.210528e-06	-0.02153
-2.208528e-06	-0.02153
-2.206528e-06	-0.02317
-2.204528e-06	-0.02153
-2.202528e-06	-0.02481
-2.200528e-06	-0.02235
-2.198528e-06	-0.02194
-2.196528e-06	-0.02317
-2.194528e-06	-0.02235
-2.192528e-06	-0.02112
-2.190528e-06	-0.0203
-2.188528e-06	-0.01948
-2.186528e-06	-0.02276
-2.184528e-06	-0.02194
-2.182528e-06	-0.02194
-2.180528e-06	-0.02071
-2.178528e-06	-0.02235
-2.176528e-06	-0.02235
-2.174528e-06	-0.0244
-2.172528e-06	-0.02153
-2.170528e-06	-0.02235
-2.168528e-06	-0.02071
-2.166528e-06	-0.02235
-2.164528e-06	-0.02071
-2.162528e-06	-0.02153
-2.160528e-06	-0.02071
-2.158528e-06	-0.02399
-2.156528e-06	-0.02358
-2.154528e-06	-0.02235
-2.152528e-06	-0.02317
-2.150528e-06	-0.02481
-2.148528e-06	-0.02276
-2.146528e-06	-0.02481
-2.144528e-06	-0.02276
-2.142528e-06	-0.02194
-2.140528e-06	-0.02317
-2.138528e-06	-0.02399
-2.136528e-06	-0.02481
-2.134528e-06	-0.02399
-2.132528e-06	-0.02276
-2.130528e-06	-0.02481
-2.128528e-06	-0.02071
-2.126528e-06	-0.02235
-2.124528e-06	-0.0244
-2.122528e-06	-0.0244
-2.120528e-06	-0.02399
-2.118528e-06	-0.02317
-2.116528e-06	-0.02399
-2.114528e-06	-0.02522
-2.112528e-06	-0.02563
-2.110528e-06	-0.02358
-2.108528e-06	-0.02358
-2.106528e-06	-0.02809
-2.104528e-06	-0.0244
-2.102528e-06	-0.0285
-2.100528e-06	-0.02645
-2.098528e-06	-0.02604
-2.096528e-06	-0.02522
-2.094528e-06	-0.02563
-2.092528e-06	-0.02563
-2.090528e-06	-0.02727
-2.088528e-06	-0.02768
-2.086528e-06	-0.02604
-2.084528e-06	-0.02686
-2.082528e-06	-0.02809
-2.080528e-06	-0.02809
-2.078528e-06	-0.02686
-2.076528e-06	-0.02481
-2.074528e-06	-0.02645
-2.072528e-06	-0.0244
-2.070528e-06	-0.02604
-2.068528e-06	-0.02563
-2.066528e-06	-0.02932
-2.064528e-06	-0.02645
-2.062528e-06	-0.02686
-2.060528e-06	-0.02809
-2.058528e-06	-0.02686
-2.056528e-06	-0.02686
-2.054528e-06	-0.02522
-2.052528e-06	-0.02604
-2.050528e-06	-0.02727
-2.048528e-06	-0.02563
-2.046528e-06	-0.02768
-2.044528e-06	-0.02563
-2.042528e-06	-0.02768
-2.040528e-06	-0.02727
-2.038528e-06	-0.02809
-2.036528e-06	-0.02768
-2.034528e-06	-0.02891
-2.032528e-06	-0.02686
-2.030528e-06	-0.02604
-2.028528e-06	-0.02727
-2.026528e-06	-0.02932
