LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:55:26	0                 
Time	Ampl
-2.501135e-06	-0.02696
-2.499135e-06	-0.02772
-2.497135e-06	-0.02316
-2.495135e-06	-0.02468
-2.493135e-06	-0.02848
-2.491135e-06	-0.03076
-2.489135e-06	-0.0262
-2.487135e-06	-0.0262
-2.485135e-06	-0.0262
-2.483135e-06	-0.02848
-2.481135e-06	-0.02772
-2.479135e-06	-0.0262
-2.477135e-06	-0.02772
-2.475135e-06	-0.03
-2.473135e-06	-0.02544
-2.471135e-06	-0.0262
-2.469135e-06	-0.03
-2.467135e-06	-0.03
-2.465135e-06	-0.02468
-2.463135e-06	-0.02848
-2.461135e-06	-0.02924
-2.459135e-06	-0.03304
-2.457135e-06	-0.02468
-2.455135e-06	-0.02772
-2.453135e-06	-0.03076
-2.451135e-06	-0.03076
-2.449135e-06	-0.02696
-2.447135e-06	-0.02772
-2.445135e-06	-0.02848
-2.443135e-06	-0.02924
-2.441135e-06	-0.02392
-2.439135e-06	-0.02468
-2.437135e-06	-0.02772
-2.435135e-06	-0.02924
-2.433135e-06	-0.02848
-2.431135e-06	-0.02924
-2.429135e-06	-0.02772
-2.427135e-06	-0.02772
-2.425135e-06	-0.02696
-2.423135e-06	-0.02772
-2.421135e-06	-0.02544
-2.419135e-06	-0.02772
-2.417135e-06	-0.02772
-2.415135e-06	-0.0224
-2.413135e-06	-0.02848
-2.411135e-06	-0.03
-2.409135e-06	-0.02924
-2.407135e-06	-0.03076
-2.405135e-06	-0.03076
-2.403135e-06	-0.03304
-2.401135e-06	-0.02696
-2.399135e-06	-0.02772
-2.397135e-06	-0.02924
-2.395135e-06	-0.03
-2.393135e-06	-0.0224
-2.391135e-06	-0.02848
-2.389135e-06	-0.02696
-2.387135e-06	-0.0262
-2.385135e-06	-0.02164
-2.383135e-06	-0.0262
-2.381135e-06	-0.03
-2.379135e-06	-0.03
-2.377135e-06	-0.02468
-2.375135e-06	-0.02696
-2.373135e-06	-0.03
-2.371135e-06	-0.03456
-2.369135e-06	-0.03076
-2.367135e-06	-0.02772
-2.365135e-06	-0.02468
-2.363135e-06	-0.02924
-2.361135e-06	-0.02848
-2.359135e-06	-0.03
-2.357135e-06	-0.02848
-2.355135e-06	-0.03076
-2.353135e-06	-0.02924
-2.351135e-06	-0.02848
-2.349135e-06	-0.03
-2.347135e-06	-0.03
-2.345135e-06	-0.02468
-2.343135e-06	-0.02848
-2.341135e-06	-0.02772
-2.339135e-06	-0.03
-2.337135e-06	-0.02696
-2.335135e-06	-0.02544
-2.333135e-06	-0.02772
-2.331135e-06	-0.02848
-2.329135e-06	-0.02468
-2.327135e-06	-0.02924
-2.325135e-06	-0.02848
-2.323135e-06	-0.02924
-2.321135e-06	-0.02772
-2.319135e-06	-0.02544
-2.317135e-06	-0.02924
-2.315135e-06	-0.02772
-2.313135e-06	-0.02468
-2.311135e-06	-0.02544
-2.309135e-06	-0.03
-2.307135e-06	-0.02696
-2.305135e-06	-0.02468
-2.303135e-06	-0.02696
-2.301135e-06	-0.02316
-2.299135e-06	-0.0262
-2.297135e-06	-0.02468
-2.295135e-06	-0.02544
-2.293135e-06	-0.02544
-2.291135e-06	-0.02696
-2.289135e-06	-0.0224
-2.287135e-06	-0.0262
-2.285135e-06	-0.02696
-2.283135e-06	-0.0262
-2.281135e-06	-0.02088
-2.279135e-06	-0.02544
-2.277135e-06	-0.02848
-2.275135e-06	-0.02772
-2.273135e-06	-0.02468
-2.271135e-06	-0.0224
-2.269135e-06	-0.02468
-2.267135e-06	-0.02772
-2.265135e-06	-0.0262
-2.263135e-06	-0.02316
-2.261135e-06	-0.0224
-2.259135e-06	-0.02468
-2.257135e-06	-0.02164
-2.255135e-06	-0.02848
-2.253135e-06	-0.02316
-2.251135e-06	-0.02696
-2.249135e-06	-0.0262
-2.247135e-06	-0.02696
-2.245135e-06	-0.02696
-2.243135e-06	-0.02848
-2.241135e-06	-0.0262
-2.239135e-06	-0.02772
-2.237135e-06	-0.02696
-2.235135e-06	-0.02772
-2.233135e-06	-0.02772
-2.231135e-06	-0.02696
-2.229135e-06	-0.02848
-2.227135e-06	-0.0262
-2.225135e-06	-0.02316
-2.223135e-06	-0.0262
-2.221135e-06	-0.02772
-2.219135e-06	-0.02696
-2.217135e-06	-0.02468
-2.215135e-06	-0.02696
-2.213135e-06	-0.02848
-2.211135e-06	-0.0262
-2.209135e-06	-0.02544
-2.207135e-06	-0.02696
-2.205135e-06	-0.02392
-2.203135e-06	-0.03228
-2.201135e-06	-0.02468
-2.199135e-06	-0.02392
-2.197135e-06	-0.02772
-2.195135e-06	-0.02772
-2.193135e-06	-0.02316
-2.191135e-06	-0.02164
-2.189135e-06	-0.02392
-2.187135e-06	-0.02696
-2.185135e-06	-0.0224
-2.183135e-06	-0.02316
-2.181135e-06	-0.02468
-2.179135e-06	-0.02696
-2.177135e-06	-0.02468
-2.175135e-06	-0.02772
-2.173135e-06	-0.02468
-2.171135e-06	-0.02392
-2.169135e-06	-0.02164
-2.167135e-06	-0.01936
-2.165135e-06	-0.02088
-2.163135e-06	-0.0224
-2.161135e-06	-0.02316
-2.159135e-06	-0.02468
-2.157135e-06	-0.02088
-2.155135e-06	-0.0262
-2.153135e-06	-0.02012
-2.151135e-06	-0.02316
-2.149135e-06	-0.02316
-2.147135e-06	-0.02392
-2.145135e-06	-0.02088
-2.143135e-06	-0.0224
-2.141135e-06	-0.0262
-2.139135e-06	-0.02392
-2.137135e-06	-0.01936
-2.135135e-06	-0.02544
-2.133135e-06	-0.0224
-2.131135e-06	-0.02164
-2.129135e-06	-0.02164
-2.127135e-06	-0.02164
-2.125135e-06	-0.01936
-2.123135e-06	-0.02468
-2.121135e-06	-0.0224
-2.119135e-06	-0.0224
-2.117135e-06	-0.0224
-2.115135e-06	-0.02468
-2.113135e-06	-0.02088
-2.111135e-06	-0.0262
