LECROYHDO6104A	50809	Waveform
Segments	1	SegmentSize	2502
Segment	TrigTime	TimeSinceSegment1
#1	19-Dec-2022 19:19:34	0                 
Time	Ampl
-2.491438e-06	-0.02628
-2.489438e-06	-0.02585
-2.487438e-06	-0.02284
-2.485438e-06	-0.028
-2.483438e-06	-0.02757
-2.481438e-06	-0.02886
-2.479438e-06	-0.02714
-2.477438e-06	-0.02886
-2.475438e-06	-0.02714
-2.473438e-06	-0.02843
-2.471438e-06	-0.02671
-2.469438e-06	-0.02929
-2.467438e-06	-0.02542
-2.465438e-06	-0.02671
-2.463438e-06	-0.0237
-2.461438e-06	-0.028
-2.459438e-06	-0.02585
-2.457438e-06	-0.02628
-2.455438e-06	-0.02542
-2.453438e-06	-0.02628
-2.451438e-06	-0.02714
-2.449438e-06	-0.02585
-2.447438e-06	-0.02628
-2.445438e-06	-0.02757
-2.443438e-06	-0.02542
-2.441438e-06	-0.028
-2.439438e-06	-0.02585
-2.437438e-06	-0.02628
-2.435438e-06	-0.02714
-2.433438e-06	-0.02671
-2.431438e-06	-0.02628
-2.429438e-06	-0.02843
-2.427438e-06	-0.02886
-2.425438e-06	-0.028
-2.423438e-06	-0.02585
-2.421438e-06	-0.02714
-2.419438e-06	-0.02628
-2.417438e-06	-0.02886
-2.415438e-06	-0.02843
-2.413438e-06	-0.02843
-2.411438e-06	-0.02671
-2.409438e-06	-0.02843
-2.407438e-06	-0.028
-2.405438e-06	-0.02628
-2.403438e-06	-0.02628
-2.401438e-06	-0.03058
-2.399438e-06	-0.0237
-2.397438e-06	-0.028
-2.395438e-06	-0.02585
-2.393438e-06	-0.02886
-2.391438e-06	-0.02757
-2.389438e-06	-0.02929
-2.387438e-06	-0.02886
-2.385438e-06	-0.03058
-2.383438e-06	-0.02757
-2.381438e-06	-0.02757
-2.379438e-06	-0.02757
-2.377438e-06	-0.03101
-2.375438e-06	-0.02972
-2.373438e-06	-0.03101
-2.371438e-06	-0.02972
-2.369438e-06	-0.02972
-2.367438e-06	-0.02585
-2.365438e-06	-0.03015
-2.363438e-06	-0.02585
-2.361438e-06	-0.03015
-2.359438e-06	-0.02413
-2.357438e-06	-0.028
-2.355438e-06	-0.02628
-2.353438e-06	-0.03058
-2.351438e-06	-0.02628
-2.349438e-06	-0.02757
-2.347438e-06	-0.028
-2.345438e-06	-0.02929
-2.343438e-06	-0.02585
-2.341438e-06	-0.02671
-2.339438e-06	-0.02628
-2.337438e-06	-0.02843
-2.335438e-06	-0.02628
-2.333438e-06	-0.02714
-2.331438e-06	-0.02714
-2.329438e-06	-0.03015
-2.327438e-06	-0.02327
-2.325438e-06	-0.02585
-2.323438e-06	-0.02585
-2.321438e-06	-0.02585
-2.319438e-06	-0.02413
-2.317438e-06	-0.02628
-2.315438e-06	-0.02542
-2.313438e-06	-0.02585
-2.311438e-06	-0.02542
-2.309438e-06	-0.02757
-2.307438e-06	-0.02671
-2.305438e-06	-0.02542
-2.303438e-06	-0.02628
-2.301438e-06	-0.02628
-2.299438e-06	-0.02628
-2.297438e-06	-0.02671
-2.295438e-06	-0.0237
-2.293438e-06	-0.02671
-2.291438e-06	-0.0237
-2.289438e-06	-0.02456
-2.287438e-06	-0.02542
-2.285438e-06	-0.028
-2.283438e-06	-0.02499
-2.281438e-06	-0.02843
-2.279438e-06	-0.02542
-2.277438e-06	-0.028
-2.275438e-06	-0.02929
-2.273438e-06	-0.02714
-2.271438e-06	-0.02585
-2.269438e-06	-0.02714
-2.267438e-06	-0.02671
-2.265438e-06	-0.028
-2.263438e-06	-0.02714
-2.261438e-06	-0.02972
-2.259438e-06	-0.02757
-2.257438e-06	-0.02714
-2.255438e-06	-0.02671
-2.253438e-06	-0.02843
-2.251438e-06	-0.02628
-2.249438e-06	-0.028
-2.247438e-06	-0.02413
-2.245438e-06	-0.02757
-2.243438e-06	-0.02714
-2.241438e-06	-0.02714
-2.239438e-06	-0.02628
-2.237438e-06	-0.02456
-2.235438e-06	-0.02499
-2.233438e-06	-0.02714
-2.231438e-06	-0.02499
-2.229438e-06	-0.02499
-2.227438e-06	-0.02198
-2.225438e-06	-0.02757
-2.223438e-06	-0.0237
-2.221438e-06	-0.02671
-2.219438e-06	-0.02628
-2.217438e-06	-0.02585
-2.215438e-06	-0.02628
-2.213438e-06	-0.028
-2.211438e-06	-0.0237
-2.209438e-06	-0.02542
-2.207438e-06	-0.02714
-2.205438e-06	-0.02456
-2.203438e-06	-0.02499
-2.201438e-06	-0.028
-2.199438e-06	-0.02456
-2.197438e-06	-0.02585
-2.195438e-06	-0.0237
-2.193438e-06	-0.02499
-2.191438e-06	-0.02198
-2.189438e-06	-0.02499
-2.187438e-06	-0.02499
-2.185438e-06	-0.02542
-2.183438e-06	-0.02241
-2.181438e-06	-0.02757
-2.179438e-06	-0.02585
-2.177438e-06	-0.02499
-2.175438e-06	-0.02499
-2.173438e-06	-0.028
-2.171438e-06	-0.02671
-2.169438e-06	-0.028
-2.167438e-06	-0.02456
-2.165438e-06	-0.02972
-2.163438e-06	-0.02628
-2.161438e-06	-0.03015
-2.159438e-06	-0.02628
-2.157438e-06	-0.02886
-2.155438e-06	-0.02757
-2.153438e-06	-0.02886
-2.151438e-06	-0.02628
-2.149438e-06	-0.02628
-2.147438e-06	-0.02585
-2.145438e-06	-0.02757
-2.143438e-06	-0.02456
-2.141438e-06	-0.02843
-2.139438e-06	-0.028
-2.137438e-06	-0.02929
-2.135438e-06	-0.02929
-2.133438e-06	-0.02757
-2.131438e-06	-0.02886
-2.129438e-06	-0.02714
-2.127438e-06	-0.028
-2.125438e-06	-0.028
-2.123438e-06	-0.02757
-2.121438e-06	-0.02714
-2.119438e-06	-0.02456
-2.117438e-06	-0.02757
-2.115438e-06	-0.02542
-2.113438e-06	-0.02628
-2.111438e-06	-0.02585
-2.109438e-06	-0.02843
-2.107438e-06	-0.02542
-2.105438e-06	-0.028
-2.103438e-06	-0.02499
-2.101438e-06	-0.02757
-2.099438e-06	-0.02671
-2.097438e-06	-0.02929
-2.095438e-06	-0.02714
-2.093438e-06	-0.02886
-2.091438e-06	-0.02628
-2.089438e-06	-0.02757
-2.087438e-06	-0.02542
-2.085438e-06	-0.02714
-2.083438e-06	-0.02843
-2.081438e-06	-0.02757
-2.079438e-06	-0.02284
-2.077438e-06	-0.02542
-2.075438e-06	-0.02757
-2.073438e-06	-0.02757
-2.071438e-06	-0.02499
-2.069438e-06	-0.02714
-2.067438e-06	-0.02628
-2.065438e-06	-0.02757
-2.063438e-06	-0.02456
-2.061438e-06	-0.02843
-2.059438e-06	-0.028
-2.057438e-06	-0.02714
-2.055438e-06	-0.02671
-2.053438e-06	-0.02843
-2.051438e-06	-0.02456
-2.049438e-06	-0.02628
-2.047438e-06	-0.0237
-2.045438e-06	-0.02843
-2.043438e-06	-0.02843
-2.041438e-06	-0.02886
-2.039438e-06	-0.02886
-2.037438e-06	-0.02714
-2.035438e-06	-0.028
-2.033438e-06	-0.02929
-2.031438e-06	-0.02714
-2.029438e-06	-0.02886
-2.027438e-06	-0.02628
-2.025438e-06	-0.02714
-2.023438e-06	-0.02413
-2.021438e-06	-0.02886
-2.019438e-06	-0.02628
-2.017438e-06	-0.02671
-2.015438e-06	-0.02499
-2.013438e-06	-0.02542
-2.011438e-06	-0.028
-2.009438e-06	-0.02757
-2.007438e-06	-0.02757
-2.005438e-06	-0.02843
-2.003438e-06	-0.02628
-2.001438e-06	-0.02843
-1.999438e-06	-0.02628
-1.997438e-06	-0.02972
-1.995438e-06	-0.02671
-1.993438e-06	-0.02413
-1.991438e-06	-0.02542
-1.989438e-06	-0.02714
-1.987438e-06	-0.02886
-1.985438e-06	-0.02542
-1.983438e-06	-0.02327
-1.981438e-06	-0.03101
-1.979438e-06	-0.02929
-1.977438e-06	-0.03015
-1.975438e-06	-0.02456
-1.973438e-06	-0.02585
-1.971438e-06	-0.02628
-1.969438e-06	-0.02843
-1.967438e-06	-0.02413
-1.965438e-06	-0.02714
-1.963438e-06	-0.02499
-1.961438e-06	-0.02929
-1.959438e-06	-0.02585
-1.957438e-06	-0.02499
-1.955438e-06	-0.02499
-1.953438e-06	-0.028
-1.951438e-06	-0.02585
-1.949438e-06	-0.02757
-1.947438e-06	-0.02585
-1.945438e-06	-0.02585
-1.943438e-06	-0.02585
-1.941438e-06	-0.02585
-1.939438e-06	-0.02499
-1.937438e-06	-0.02628
-1.935438e-06	-0.02499
-1.933438e-06	-0.02972
-1.931438e-06	-0.02456
-1.929438e-06	-0.02757
-1.927438e-06	-0.0237
-1.925438e-06	-0.02499
-1.923438e-06	-0.02413
-1.921438e-06	-0.028
-1.919438e-06	-0.02327
-1.917438e-06	-0.02456
-1.915438e-06	-0.02456
-1.913438e-06	-0.02628
-1.911438e-06	-0.02413
-1.909438e-06	-0.02499
-1.907438e-06	-0.02499
-1.905438e-06	-0.02714
-1.903438e-06	-0.02585
-1.901438e-06	-0.02757
-1.899438e-06	-0.02628
-1.897438e-06	-0.02671
-1.895438e-06	-0.02413
-1.893438e-06	-0.02843
-1.891438e-06	-0.02714
-1.889438e-06	-0.02585
-1.887438e-06	-0.02327
-1.885438e-06	-0.02886
-1.883438e-06	-0.02542
-1.881438e-06	-0.02671
-1.879438e-06	-0.02499
-1.877438e-06	-0.02585
-1.875438e-06	-0.02628
-1.873438e-06	-0.02585
-1.871438e-06	-0.02671
-1.869438e-06	-0.02628
-1.867438e-06	-0.02671
-1.865438e-06	-0.02843
-1.863438e-06	-0.02585
-1.861438e-06	-0.02757
-1.859438e-06	-0.02628
-1.857438e-06	-0.028
-1.855438e-06	-0.02585
-1.853438e-06	-0.02972
-1.851438e-06	-0.02671
-1.849438e-06	-0.02456
-1.847438e-06	-0.02413
-1.845438e-06	-0.02628
-1.843438e-06	-0.02585
-1.841438e-06	-0.02714
-1.839438e-06	-0.028
-1.837438e-06	-0.02972
-1.835438e-06	-0.02542
-1.833438e-06	-0.02585
-1.831438e-06	-0.02843
-1.829438e-06	-0.02757
-1.827438e-06	-0.02929
-1.825438e-06	-0.02972
-1.823438e-06	-0.02413
-1.821438e-06	-0.02628
-1.819438e-06	-0.02671
-1.817438e-06	-0.02757
-1.815438e-06	-0.02585
-1.813438e-06	-0.02284
-1.811438e-06	-0.02671
-1.809438e-06	-0.02155
-1.807438e-06	-0.0237
