Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1470.0	21.992	0.045471	2.9208	9.6051	13.289	19.520	35.605	787.72	-0.085732	336.73	0.070335	supercritical
300.00	1480.0	22.014	0.045425	2.9127	9.6357	13.240	19.534	35.588	789.56	-0.085848	338.15	0.070520	supercritical
300.00	1490.0	22.036	0.045380	2.9047	9.6662	13.190	19.548	35.572	791.40	-0.085962	339.57	0.070705	supercritical
300.00	1500.0	22.058	0.045334	2.8967	9.6968	13.141	19.562	35.556	793.23	-0.086074	340.99	0.070889	supercritical
300.00	1510.0	22.080	0.045289	2.8888	9.7275	13.092	19.576	35.540	795.05	-0.086184	342.42	0.071072	supercritical
300.00	1520.0	22.102	0.045244	2.8809	9.7581	13.043	19.590	35.525	796.86	-0.086292	343.84	0.071255	supercritical
300.00	1530.0	22.124	0.045200	2.8732	9.7888	12.995	19.604	35.510	798.67	-0.086398	345.26	0.071438	supercritical
300.00	1540.0	22.145	0.045156	2.8654	9.8195	12.946	19.618	35.495	800.47	-0.086503	346.68	0.071619	supercritical
300.00	1550.0	22.167	0.045112	2.8578	9.8502	12.898	19.632	35.480	802.26	-0.086606	348.09	0.071801	supercritical
300.00	1560.0	22.188	0.045069	2.8501	9.8809	12.850	19.646	35.465	804.04	-0.086707	349.51	0.071981	supercritical
300.00	1570.0	22.209	0.045026	2.8426	9.9117	12.803	19.660	35.451	805.82	-0.086806	350.93	0.072161	supercritical
300.00	1580.0	22.231	0.044983	2.8351	9.9425	12.755	19.674	35.437	807.59	-0.086904	352.35	0.072341	supercritical
300.00	1590.0	22.251	0.044941	2.8277	9.9733	12.708	19.687	35.423	809.35	-0.087000	353.76	0.072519	supercritical
300.00	1600.0	22.272	0.044899	2.8203	10.004	12.661	19.701	35.409	811.11	-0.087095	355.18	0.072698	supercritical
300.00	1610.0	22.293	0.044857	2.8130	10.035	12.614	19.715	35.395	812.86	-0.087188	356.60	0.072875	supercritical
300.00	1620.0	22.314	0.044815	2.8057	10.066	12.568	19.728	35.382	814.61	-0.087279	358.01	0.073053	supercritical
300.00	1630.0	22.334	0.044774	2.7985	10.097	12.522	19.742	35.369	816.34	-0.087369	359.43	0.073229	supercritical
300.00	1640.0	22.355	0.044733	2.7913	10.128	12.475	19.755	35.356	818.07	-0.087457	360.84	0.073405	supercritical
300.00	1650.0	22.375	0.044693	2.7842	10.159	12.429	19.769	35.343	819.80	-0.087544	362.25	0.073581	supercritical
300.00	1660.0	22.395	0.044652	2.7772	10.189	12.384	19.782	35.331	821.52	-0.087630	363.67	0.073756	supercritical
300.00	1670.0	22.415	0.044612	2.7702	10.220	12.338	19.795	35.319	823.23	-0.087714	365.08	0.073930	supercritical
300.00	1680.0	22.435	0.044573	2.7633	10.251	12.293	19.809	35.306	824.93	-0.087797	366.49	0.074104	supercritical
300.00	1690.0	22.455	0.044533	2.7564	10.282	12.248	19.822	35.295	826.63	-0.087878	367.90	0.074278	supercritical
300.00	1700.0	22.475	0.044494	2.7495	10.313	12.203	19.835	35.283	828.33	-0.087958	369.32	0.074451	supercritical
300.00	1710.0	22.495	0.044455	2.7427	10.345	12.158	19.848	35.271	830.01	-0.088037	370.73	0.074623	supercritical
300.00	1720.0	22.514	0.044416	2.7360	10.376	12.113	19.861	35.260	831.69	-0.088114	372.14	0.074795	supercritical
300.00	1730.0	22.534	0.044378	2.7293	10.407	12.069	19.874	35.248	833.37	-0.088191	373.55	0.074966	supercritical
300.00	1740.0	22.553	0.044340	2.7227	10.438	12.025	19.887	35.237	835.04	-0.088265	374.96	0.075137	supercritical
300.00	1750.0	22.573	0.044302	2.7161	10.469	11.981	19.900	35.226	836.70	-0.088339	376.37	0.075308	supercritical
300.00	1760.0	22.592	0.044264	2.7095	10.500	11.937	19.913	35.216	838.36	-0.088412	377.78	0.075478	supercritical
300.00	1770.0	22.611	0.044227	2.7030	10.531	11.893	19.926	35.205	840.01	-0.088483	379.19	0.075647	supercritical
300.00	1780.0	22.630	0.044189	2.6966	10.562	11.850	19.939	35.195	841.66	-0.088553	380.60	0.075816	supercritical
300.00	1790.0	22.649	0.044152	2.6902	10.593	11.806	19.952	35.184	843.30	-0.088622	382.00	0.075985	supercritical
300.00	1800.0	22.668	0.044116	2.6838	10.625	11.763	19.965	35.174	844.93	-0.088690	383.41	0.076153	supercritical
300.00	1810.0	22.686	0.044079	2.6775	10.656	11.720	19.977	35.164	846.56	-0.088757	384.82	0.076320	supercritical
300.00	1820.0	22.705	0.044043	2.6712	10.687	11.677	19.990	35.154	848.19	-0.088823	386.23	0.076487	supercritical
300.00	1830.0	22.724	0.044007	2.6650	10.718	11.635	20.003	35.145	849.81	-0.088887	387.64	0.076654	supercritical
300.00	1840.0	22.742	0.043971	2.6588	10.750	11.592	20.015	35.135	851.42	-0.088951	389.04	0.076820	supercritical
300.00	1850.0	22.761	0.043936	2.6527	10.781	11.550	20.028	35.126	853.03	-0.089013	390.45	0.076986	supercritical
300.00	1860.0	22.779	0.043900	2.6466	10.812	11.508	20.040	35.116	854.63	-0.089075	391.86	0.077151	supercritical
300.00	1870.0	22.797	0.043865	2.6406	10.843	11.466	20.053	35.107	856.23	-0.089135	393.26	0.077316	supercritical
300.00	1880.0	22.815	0.043830	2.6346	10.875	11.424	20.065	35.098	857.82	-0.089195	394.67	0.077481	supercritical
300.00	1890.0	22.833	0.043796	2.6286	10.906	11.382	20.078	35.089	859.41	-0.089253	396.07	0.077645	supercritical
300.00	1900.0	22.851	0.043761	2.6227	10.937	11.341	20.090	35.081	861.00	-0.089311	397.48	0.077808	supercritical
300.00	1910.0	22.869	0.043727	2.6168	10.969	11.300	20.102	35.072	862.57	-0.089368	398.88	0.077972	supercritical
300.00	1920.0	22.887	0.043693	2.6110	11.000	11.258	20.115	35.064	864.15	-0.089424	400.29	0.078134	supercritical
300.00	1930.0	22.905	0.043659	2.6052	11.031	11.217	20.127	35.055	865.71	-0.089478	401.69	0.078297	supercritical
300.00	1940.0	22.922	0.043625	2.5994	11.063	11.176	20.139	35.047	867.28	-0.089532	403.10	0.078459	supercritical
