Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	353.33	17.644	0.056676	4.7222	6.7247	22.116	17.466	43.802	481.02	-0.024894	162.26	0.042295	supercritical
300.00	355.00	17.658	0.056632	4.7161	6.7265	22.091	17.470	43.752	481.84	-0.025260	162.59	0.042360	supercritical
300.00	356.67	17.672	0.056588	4.7101	6.7284	22.066	17.474	43.702	482.66	-0.025623	162.92	0.042426	supercritical
300.00	358.33	17.685	0.056545	4.7041	6.7303	22.041	17.478	43.652	483.47	-0.025983	163.26	0.042491	supercritical
300.00	360.00	17.699	0.056501	4.6981	6.7322	22.015	17.481	43.603	484.28	-0.026339	163.59	0.042556	supercritical
300.00	361.67	17.712	0.056458	4.6922	6.7341	21.990	17.485	43.554	485.09	-0.026692	163.92	0.042621	supercritical
300.00	363.33	17.726	0.056416	4.6863	6.7360	21.966	17.489	43.506	485.90	-0.027042	164.25	0.042685	supercritical
300.00	365.00	17.739	0.056373	4.6804	6.7380	21.941	17.492	43.458	486.70	-0.027390	164.58	0.042750	supercritical
300.00	366.67	17.752	0.056331	4.6745	6.7400	21.916	17.496	43.411	487.50	-0.027734	164.91	0.042814	supercritical
300.00	368.33	17.765	0.056289	4.6687	6.7420	21.892	17.500	43.364	488.29	-0.028075	165.24	0.042878	supercritical
300.00	370.00	17.779	0.056248	4.6629	6.7441	21.867	17.504	43.318	489.09	-0.028413	165.57	0.042942	supercritical
300.00	371.67	17.792	0.056206	4.6571	6.7461	21.843	17.507	43.272	489.88	-0.028748	165.90	0.043006	supercritical
300.00	373.33	17.805	0.056165	4.6514	6.7482	21.819	17.511	43.226	490.67	-0.029081	166.23	0.043070	supercritical
300.00	375.00	17.818	0.056124	4.6457	6.7503	21.794	17.515	43.181	491.45	-0.029410	166.55	0.043134	supercritical
300.00	376.67	17.831	0.056083	4.6400	6.7525	21.770	17.519	43.136	492.24	-0.029737	166.88	0.043197	supercritical
300.00	378.33	17.844	0.056043	4.6343	6.7546	21.746	17.522	43.092	493.02	-0.030061	167.20	0.043260	supercritical
300.00	380.00	17.856	0.056003	4.6287	6.7568	21.722	17.526	43.048	493.79	-0.030383	167.53	0.043323	supercritical
300.00	381.67	17.869	0.055963	4.6231	6.7590	21.699	17.530	43.004	494.57	-0.030701	167.85	0.043386	supercritical
300.00	383.33	17.882	0.055923	4.6175	6.7612	21.675	17.533	42.961	495.34	-0.031018	168.18	0.043449	supercritical
300.00	385.00	17.894	0.055883	4.6119	6.7634	21.651	17.537	42.918	496.11	-0.031331	168.50	0.043511	supercritical
300.00	386.67	17.907	0.055844	4.6064	6.7657	21.628	17.541	42.876	496.88	-0.031642	168.82	0.043574	supercritical
300.00	388.33	17.920	0.055805	4.6008	6.7679	21.604	17.545	42.834	497.64	-0.031950	169.14	0.043636	supercritical
300.00	390.00	17.932	0.055766	4.5953	6.7702	21.581	17.548	42.792	498.40	-0.032256	169.46	0.043698	supercritical
300.00	391.67	17.944	0.055727	4.5899	6.7725	21.558	17.552	42.751	499.16	-0.032560	169.78	0.043760	supercritical
300.00	393.33	17.957	0.055689	4.5844	6.7749	21.535	17.556	42.710	499.92	-0.032860	170.10	0.043822	supercritical
300.00	395.00	17.969	0.055651	4.5790	6.7772	21.511	17.560	42.669	500.68	-0.033159	170.42	0.043883	supercritical
300.00	396.67	17.981	0.055613	4.5736	6.7796	21.488	17.564	42.629	501.43	-0.033455	170.74	0.043945	supercritical
300.00	398.33	17.994	0.055575	4.5682	6.7820	21.465	17.567	42.589	502.18	-0.033749	171.06	0.044006	supercritical
300.00	400.00	18.006	0.055537	4.5629	6.7844	21.443	17.571	42.549	502.93	-0.034040	171.38	0.044068	supercritical
300.00	401.67	18.018	0.055500	4.5575	6.7868	21.420	17.575	42.510	503.67	-0.034330	171.69	0.044129	supercritical
300.00	403.33	18.030	0.055463	4.5522	6.7892	21.397	17.579	42.471	504.41	-0.034616	172.01	0.044190	supercritical
300.00	405.00	18.042	0.055426	4.5469	6.7917	21.375	17.582	42.432	505.15	-0.034901	172.33	0.044250	supercritical
300.00	406.67	18.054	0.055389	4.5417	6.7942	21.352	17.586	42.394	505.89	-0.035184	172.64	0.044311	supercritical
300.00	408.33	18.066	0.055352	4.5364	6.7967	21.330	17.590	42.356	506.63	-0.035464	172.96	0.044371	supercritical
300.00	410.00	18.078	0.055316	4.5312	6.7992	21.307	17.594	42.318	507.36	-0.035742	173.27	0.044432	supercritical
300.00	411.67	18.090	0.055280	4.5260	6.8017	21.285	17.597	42.281	508.09	-0.036018	173.58	0.044492	supercritical
300.00	413.33	18.102	0.055244	4.5208	6.8042	21.263	17.601	42.244	508.82	-0.036292	173.90	0.044552	supercritical
300.00	415.00	18.113	0.055208	4.5157	6.8068	21.241	17.605	42.207	509.55	-0.036563	174.21	0.044612	supercritical
300.00	416.67	18.125	0.055172	4.5105	6.8094	21.219	17.609	42.170	510.27	-0.036833	174.52	0.044672	supercritical
300.00	418.33	18.137	0.055137	4.5054	6.8120	21.197	17.612	42.134	510.99	-0.037101	174.83	0.044731	supercritical
300.00	420.00	18.148	0.055102	4.5003	6.8146	21.175	17.616	42.098	511.71	-0.037366	175.15	0.044791	supercritical
300.00	421.67	18.160	0.055067	4.4953	6.8172	21.153	17.620	42.063	512.43	-0.037630	175.46	0.044850	supercritical
300.00	423.33	18.171	0.055032	4.4902	6.8199	21.131	17.624	42.027	513.15	-0.037891	175.77	0.044910	supercritical
300.00	425.00	18.183	0.054997	4.4852	6.8225	21.109	17.628	41.992	513.86	-0.038151	176.08	0.044969	supercritical
300.00	426.67	18.194	0.054962	4.4802	6.8252	21.088	17.631	41.957	514.57	-0.038409	176.39	0.045028	supercritical
300.00	428.33	18.206	0.054928	4.4752	6.8279	21.066	17.635	41.923	515.28	-0.038665	176.69	0.045087	supercritical
300.00	430.00	18.217	0.054894	4.4702	6.8306	21.045	17.639	41.889	515.99	-0.038919	177.00	0.045145	supercritical
300.00	431.67	18.228	0.054860	4.4652	6.8333	21.023	17.643	41.855	516.69	-0.039171	177.31	0.045204	supercritical
300.00	433.33	18.240	0.054826	4.4603	6.8361	21.002	17.646	41.821	517.40	-0.039421	177.62	0.045263	supercritical
300.00	435.00	18.251	0.054792	4.4554	6.8388	20.981	17.650	41.787	518.10	-0.039669	177.93	0.045321	supercritical
300.00	436.67	18.262	0.054759	4.4505	6.8416	20.960	17.654	41.754	518.80	-0.039916	178.23	0.045379	supercritical
300.00	438.33	18.273	0.054725	4.4456	6.8444	20.938	17.658	41.721	519.50	-0.040161	178.54	0.045437	supercritical
300.00	440.00	18.284	0.054692	4.4407	6.8472	20.917	17.661	41.688	520.19	-0.040404	178.84	0.045495	supercritical
300.00	441.67	18.295	0.054659	4.4359	6.8500	20.896	17.665	41.656	520.88	-0.040645	179.15	0.045553	supercritical
300.00	443.33	18.306	0.054626	4.4311	6.8528	20.875	17.669	41.624	521.58	-0.040885	179.45	0.045611	supercritical
300.00	445.00	18.317	0.054594	4.4263	6.8557	20.855	17.673	41.592	522.27	-0.041123	179.76	0.045669	supercritical
300.00	446.67	18.328	0.054561	4.4215	6.8585	20.834	17.676	41.560	522.95	-0.041359	180.06	0.045726	supercritical
300.00	448.33	18.339	0.054529	4.4167	6.8614	20.813	17.680	41.528	523.64	-0.041593	180.37	0.045784	supercritical
300.00	450.00	18.350	0.054496	4.4120	6.8643	20.792	17.684	41.497	524.32	-0.041826	180.67	0.045841	supercritical
300.00	451.67	18.361	0.054464	4.4072	6.8672	20.772	17.688	41.466	525.00	-0.042058	180.97	0.045898	supercritical
300.00	453.33	18.371	0.054432	4.4025	6.8701	20.751	17.691	41.435	525.68	-0.042287	181.27	0.045955	supercritical
300.00	455.00	18.382	0.054400	4.3978	6.8730	20.731	17.695	41.404	526.36	-0.042515	181.57	0.046012	supercritical
300.00	456.67	18.393	0.054369	4.3931	6.8760	20.710	17.699	41.374	527.04	-0.042742	181.88	0.046069	supercritical
300.00	458.33	18.404	0.054337	4.3885	6.8789	20.690	17.703	41.344	527.71	-0.042967	182.18	0.046125	supercritical
300.00	460.00	18.414	0.054306	4.3838	6.8819	20.670	17.706	41.314	528.39	-0.043190	182.48	0.046182	supercritical
300.00	461.67	18.425	0.054275	4.3792	6.8849	20.649	17.710	41.284	529.06	-0.043412	182.78	0.046239	supercritical
300.00	463.33	18.435	0.054244	4.3746	6.8879	20.629	17.714	41.255	529.73	-0.043632	183.08	0.046295	supercritical
300.00	465.00	18.446	0.054213	4.3700	6.8909	20.609	17.718	41.225	530.39	-0.043851	183.38	0.046351	supercritical
300.00	466.67	18.456	0.054182	4.3654	6.8939	20.589	17.721	41.196	531.06	-0.044068	183.68	0.046407	supercritical
300.00	468.33	18.467	0.054151	4.3608	6.8969	20.569	17.725	41.167	531.72	-0.044284	183.97	0.046463	supercritical
300.00	470.00	18.477	0.054121	4.3563	6.9000	20.549	17.729	41.139	532.38	-0.044498	184.27	0.046519	supercritical
300.00	471.67	18.488	0.054090	4.3518	6.9030	20.529	17.733	41.110	533.04	-0.044711	184.57	0.046575	supercritical
300.00	473.33	18.498	0.054060	4.3473	6.9061	20.510	17.736	41.082	533.70	-0.044923	184.87	0.046631	supercritical
300.00	475.00	18.508	0.054030	4.3428	6.9092	20.490	17.740	41.054	534.36	-0.045133	185.17	0.046686	supercritical
300.00	476.67	18.518	0.054000	4.3383	6.9123	20.470	17.744	41.026	535.02	-0.045342	185.46	0.046742	supercritical
300.00	478.33	18.529	0.053970	4.3338	6.9154	20.450	17.747	40.998	535.67	-0.045549	185.76	0.046797	supercritical
300.00	480.00	18.539	0.053941	4.3294	6.9185	20.431	17.751	40.970	536.32	-0.045755	186.05	0.046852	supercritical
300.00	481.67	18.549	0.053911	4.3249	6.9216	20.411	17.755	40.943	536.97	-0.045959	186.35	0.046908	supercritical
300.00	483.33	18.559	0.053882	4.3205	6.9248	20.392	17.759	40.916	537.62	-0.046163	186.65	0.046963	supercritical
300.00	485.00	18.569	0.053852	4.3161	6.9279	20.373	17.762	40.889	538.27	-0.046364	186.94	0.047018	supercritical
300.00	486.67	18.579	0.053823	4.3117	6.9311	20.353	17.766	40.862	538.91	-0.046565	187.23	0.047072	supercritical
300.00	488.33	18.589	0.053794	4.3073	6.9343	20.334	17.770	40.835	539.56	-0.046764	187.53	0.047127	supercritical
300.00	490.00	18.599	0.053765	4.3030	6.9375	20.315	17.773	40.809	540.20	-0.046962	187.82	0.047182	supercritical
300.00	491.67	18.609	0.053736	4.2986	6.9407	20.295	17.777	40.783	540.84	-0.047159	188.12	0.047236	supercritical
300.00	493.33	18.619	0.053708	4.2943	6.9439	20.276	17.781	40.757	541.48	-0.047354	188.41	0.047291	supercritical
300.00	495.00	18.629	0.053679	4.2900	6.9471	20.257	17.785	40.731	542.11	-0.047549	188.70	0.047345	supercritical
300.00	496.67	18.639	0.053651	4.2857	6.9503	20.238	17.788	40.705	542.75	-0.047742	189.00	0.047399	supercritical
300.00	498.33	18.649	0.053622	4.2814	6.9536	20.219	17.792	40.679	543.38	-0.047933	189.29	0.047454	supercritical
300.00	500.00	18.659	0.053594	4.2771	6.9568	20.200	17.796	40.654	544.02	-0.048124	189.58	0.047508	supercritical
300.00	501.67	18.669	0.053566	4.2729	6.9601	20.181	17.799	40.629	544.65	-0.048313	189.87	0.047562	supercritical
300.00	503.33	18.678	0.053538	4.2686	6.9634	20.163	17.803	40.604	545.28	-0.048501	190.16	0.047615	supercritical
300.00	505.00	18.688	0.053510	4.2644	6.9667	20.144	17.807	40.579	545.91	-0.048688	190.45	0.047669	supercritical
300.00	506.67	18.698	0.053482	4.2602	6.9700	20.125	17.810	40.554	546.53	-0.048874	190.74	0.047723	supercritical
300.00	508.33	18.707	0.053455	4.2560	6.9733	20.106	17.814	40.529	547.16	-0.049058	191.03	0.047776	supercritical
300.00	510.00	18.717	0.053427	4.2518	6.9766	20.088	17.818	40.505	547.78	-0.049242	191.32	0.047830	supercritical
300.00	511.67	18.727	0.053400	4.2476	6.9799	20.069	17.821	40.481	548.40	-0.049424	191.61	0.047883	supercritical
300.00	513.33	18.736	0.053373	4.2435	6.9833	20.051	17.825	40.456	549.02	-0.049605	191.90	0.047936	supercritical
300.00	515.00	18.746	0.053345	4.2393	6.9866	20.032	17.829	40.432	549.64	-0.049785	192.19	0.047990	supercritical
300.00	516.67	18.755	0.053318	4.2352	6.9900	20.014	17.832	40.409	550.26	-0.049964	192.48	0.048043	supercritical
300.00	518.33	18.765	0.053291	4.2311	6.9933	19.995	17.836	40.385	550.88	-0.050142	192.77	0.048096	supercritical
300.00	520.00	18.774	0.053264	4.2270	6.9967	19.977	17.840	40.361	551.49	-0.050318	193.06	0.048149	supercritical
300.00	521.67	18.784	0.053238	4.2229	7.0001	19.959	17.843	40.338	552.11	-0.050494	193.34	0.048201	supercritical
300.00	523.33	18.793	0.053211	4.2188	7.0035	19.940	17.847	40.315	552.72	-0.050669	193.63	0.048254	supercritical
300.00	525.00	18.802	0.053185	4.2147	7.0069	19.922	17.851	40.292	553.33	-0.050842	193.92	0.048307	supercritical
300.00	526.67	18.812	0.053158	4.2107	7.0103	19.904	17.854	40.269	553.94	-0.051014	194.21	0.048359	supercritical
300.00	528.33	18.821	0.053132	4.2066	7.0138	19.886	17.858	40.246	554.55	-0.051186	194.49	0.048412	supercritical
300.00	530.00	18.830	0.053106	4.2026	7.0172	19.868	17.862	40.223	555.15	-0.051356	194.78	0.048464	supercritical
300.00	531.67	18.840	0.053080	4.1986	7.0206	19.850	17.865	40.201	555.76	-0.051526	195.06	0.048516	supercritical
300.00	533.33	18.849	0.053054	4.1946	7.0241	19.832	17.869	40.178	556.36	-0.051694	195.35	0.048569	supercritical
300.00	535.00	18.858	0.053028	4.1906	7.0276	19.814	17.873	40.156	556.96	-0.051861	195.64	0.048621	supercritical
300.00	536.67	18.867	0.053002	4.1866	7.0310	19.796	17.876	40.134	557.57	-0.052027	195.92	0.048673	supercritical
300.00	538.33	18.876	0.052976	4.1826	7.0345	19.778	17.880	40.112	558.16	-0.052193	196.21	0.048725	supercritical
300.00	540.00	18.886	0.052951	4.1787	7.0380	19.761	17.884	40.090	558.76	-0.052357	196.49	0.048776	supercritical
300.00	541.67	18.895	0.052925	4.1748	7.0415	19.743	17.887	40.068	559.36	-0.052521	196.78	0.048828	supercritical
300.00	543.33	18.904	0.052900	4.1708	7.0450	19.725	17.891	40.047	559.96	-0.052683	197.06	0.048880	supercritical
300.00	545.00	18.913	0.052874	4.1669	7.0486	19.708	17.895	40.025	560.55	-0.052844	197.34	0.048931	supercritical
300.00	546.67	18.922	0.052849	4.1630	7.0521	19.690	17.898	40.004	561.14	-0.053005	197.63	0.048983	supercritical
300.00	548.33	18.931	0.052824	4.1591	7.0556	19.672	17.902	39.983	561.74	-0.053165	197.91	0.049034	supercritical
300.00	550.00	18.940	0.052799	4.1552	7.0592	19.655	17.905	39.962	562.33	-0.053323	198.19	0.049086	supercritical
300.00	551.67	18.949	0.052774	4.1514	7.0627	19.637	17.909	39.941	562.92	-0.053481	198.48	0.049137	supercritical
300.00	553.33	18.958	0.052749	4.1475	7.0663	19.620	17.913	39.920	563.50	-0.053638	198.76	0.049188	supercritical
300.00	555.00	18.967	0.052724	4.1437	7.0699	19.603	17.916	39.899	564.09	-0.053794	199.04	0.049239	supercritical
300.00	556.67	18.975	0.052700	4.1398	7.0734	19.585	17.920	39.879	564.68	-0.053949	199.32	0.049290	supercritical
300.00	558.33	18.984	0.052675	4.1360	7.0770	19.568	17.923	39.858	565.26	-0.054103	199.60	0.049341	supercritical
300.00	560.00	18.993	0.052651	4.1322	7.0806	19.551	17.927	39.838	565.84	-0.054256	199.89	0.049392	supercritical
300.00	561.67	19.002	0.052626	4.1284	7.0842	19.533	17.931	39.818	566.43	-0.054408	200.17	0.049443	supercritical
300.00	563.33	19.011	0.052602	4.1246	7.0879	19.516	17.934	39.798	567.01	-0.054560	200.45	0.049493	supercritical
300.00	565.00	19.019	0.052578	4.1208	7.0915	19.499	17.938	39.778	567.59	-0.054711	200.73	0.049544	supercritical
300.00	566.67	19.028	0.052554	4.1171	7.0951	19.482	17.941	39.758	568.16	-0.054860	201.01	0.049594	supercritical
300.00	568.33	19.037	0.052530	4.1133	7.0987	19.465	17.945	39.738	568.74	-0.055009	201.29	0.049645	supercritical
300.00	570.00	19.046	0.052506	4.1096	7.1024	19.448	17.949	39.718	569.32	-0.055157	201.57	0.049695	supercritical
300.00	571.67	19.054	0.052482	4.1058	7.1061	19.431	17.952	39.699	569.89	-0.055305	201.85	0.049745	supercritical
300.00	573.33	19.063	0.052458	4.1021	7.1097	19.414	17.956	39.679	570.47	-0.055451	202.13	0.049796	supercritical
300.00	575.00	19.071	0.052435	4.0984	7.1134	19.397	17.959	39.660	571.04	-0.055597	202.41	0.049846	supercritical
300.00	576.67	19.080	0.052411	4.0947	7.1171	19.380	17.963	39.641	571.61	-0.055741	202.69	0.049896	supercritical
300.00	578.33	19.089	0.052387	4.0910	7.1208	19.363	17.967	39.622	572.18	-0.055885	202.96	0.049946	supercritical
300.00	580.00	19.097	0.052364	4.0873	7.1244	19.347	17.970	39.603	572.75	-0.056029	203.24	0.049996	supercritical
300.00	581.67	19.106	0.052341	4.0837	7.1281	19.330	17.974	39.584	573.32	-0.056171	203.52	0.050045	supercritical
300.00	583.33	19.114	0.052317	4.0800	7.1319	19.313	17.977	39.565	573.88	-0.056313	203.80	0.050095	supercritical
300.00	585.00	19.123	0.052294	4.0764	7.1356	19.297	17.981	39.546	574.45	-0.056454	204.08	0.050145	supercritical
300.00	586.67	19.131	0.052271	4.0727	7.1393	19.280	17.984	39.528	575.01	-0.056594	204.35	0.050194	supercritical
300.00	588.33	19.139	0.052248	4.0691	7.1430	19.263	17.988	39.509	575.57	-0.056733	204.63	0.050244	supercritical
300.00	590.00	19.148	0.052225	4.0655	7.1468	19.247	17.992	39.491	576.14	-0.056872	204.91	0.050293	supercritical
300.00	591.67	19.156	0.052202	4.0619	7.1505	19.230	17.995	39.473	576.70	-0.057009	205.19	0.050343	supercritical
300.00	593.33	19.165	0.052180	4.0583	7.1543	19.214	17.999	39.454	577.26	-0.057146	205.46	0.050392	supercritical
300.00	595.00	19.173	0.052157	4.0547	7.1580	19.197	18.002	39.436	577.82	-0.057283	205.74	0.050441	supercritical
300.00	596.67	19.181	0.052134	4.0511	7.1618	19.181	18.006	39.418	578.37	-0.057418	206.02	0.050490	supercritical
300.00	598.33	19.190	0.052112	4.0476	7.1656	19.165	18.009	39.401	578.93	-0.057553	206.29	0.050539	supercritical
300.00	600.00	19.198	0.052089	4.0440	7.1694	19.148	18.013	39.383	579.48	-0.057687	206.57	0.050588	supercritical
300.00	601.67	19.206	0.052067	4.0405	7.1731	19.132	18.016	39.365	580.04	-0.057820	206.84	0.050637	supercritical
300.00	603.33	19.214	0.052045	4.0369	7.1769	19.116	18.020	39.348	580.59	-0.057953	207.12	0.050686	supercritical
300.00	605.00	19.223	0.052022	4.0334	7.1808	19.099	18.023	39.330	581.14	-0.058085	207.39	0.050735	supercritical
300.00	606.67	19.231	0.052000	4.0299	7.1846	19.083	18.027	39.313	581.70	-0.058216	207.67	0.050783	supercritical
300.00	608.33	19.239	0.051978	4.0264	7.1884	19.067	18.030	39.295	582.25	-0.058347	207.94	0.050832	supercritical
300.00	610.00	19.247	0.051956	4.0229	7.1922	19.051	18.034	39.278	582.79	-0.058477	208.22	0.050881	supercritical
300.00	611.67	19.255	0.051934	4.0194	7.1960	19.035	18.037	39.261	583.34	-0.058606	208.49	0.050929	supercritical
300.00	613.33	19.263	0.051912	4.0159	7.1999	19.019	18.041	39.244	583.89	-0.058734	208.77	0.050978	supercritical
300.00	615.00	19.271	0.051890	4.0125	7.2037	19.003	18.044	39.227	584.43	-0.058862	209.04	0.051026	supercritical
300.00	616.67	19.279	0.051869	4.0090	7.2076	18.987	18.048	39.210	584.98	-0.058989	209.31	0.051074	supercritical
300.00	618.33	19.287	0.051847	4.0056	7.2114	18.971	18.052	39.193	585.52	-0.059116	209.59	0.051122	supercritical
300.00	620.00	19.296	0.051825	4.0021	7.2153	18.955	18.055	39.177	586.07	-0.059242	209.86	0.051171	supercritical
300.00	621.67	19.304	0.051804	3.9987	7.2192	18.939	18.059	39.160	586.61	-0.059367	210.13	0.051219	supercritical
300.00	623.33	19.312	0.051783	3.9953	7.2230	18.923	18.062	39.144	587.15	-0.059491	210.41	0.051267	supercritical
300.00	625.00	19.319	0.051761	3.9919	7.2269	18.907	18.066	39.127	587.69	-0.059615	210.68	0.051315	supercritical
300.00	626.67	19.327	0.051740	3.9885	7.2308	18.892	18.069	39.111	588.23	-0.059738	210.95	0.051362	supercritical
300.00	628.33	19.335	0.051719	3.9851	7.2347	18.876	18.072	39.095	588.76	-0.059861	211.22	0.051410	supercritical
300.00	630.00	19.343	0.051698	3.9817	7.2386	18.860	18.076	39.079	589.30	-0.059983	211.50	0.051458	supercritical
300.00	631.67	19.351	0.051676	3.9783	7.2425	18.844	18.079	39.062	589.84	-0.060104	211.77	0.051506	supercritical
300.00	633.33	19.359	0.051655	3.9749	7.2464	18.829	18.083	39.046	590.37	-0.060225	212.04	0.051553	supercritical
300.00	635.00	19.367	0.051634	3.9716	7.2504	18.813	18.086	39.031	590.91	-0.060345	212.31	0.051601	supercritical
300.00	636.67	19.375	0.051614	3.9682	7.2543	18.798	18.090	39.015	591.44	-0.060465	212.58	0.051648	supercritical
300.00	638.33	19.383	0.051593	3.9649	7.2582	18.782	18.093	38.999	591.97	-0.060583	212.85	0.051696	supercritical
300.00	640.00	19.390	0.051572	3.9616	7.2622	18.767	18.097	38.983	592.50	-0.060702	213.13	0.051743	supercritical
300.00	641.67	19.398	0.051551	3.9582	7.2661	18.751	18.100	38.968	593.03	-0.060819	213.40	0.051790	supercritical
300.00	643.33	19.406	0.051531	3.9549	7.2701	18.736	18.104	38.952	593.56	-0.060936	213.67	0.051837	supercritical
300.00	645.00	19.414	0.051510	3.9516	7.2740	18.720	18.107	38.937	594.09	-0.061053	213.94	0.051885	supercritical
300.00	646.67	19.421	0.051490	3.9483	7.2780	18.705	18.111	38.921	594.61	-0.061169	214.21	0.051932	supercritical
300.00	648.33	19.429	0.051469	3.9450	7.2820	18.689	18.114	38.906	595.14	-0.061284	214.48	0.051979	supercritical
300.00	650.00	19.437	0.051449	3.9418	7.2859	18.674	18.118	38.891	595.67	-0.061399	214.75	0.052026	supercritical
300.00	651.67	19.444	0.051429	3.9385	7.2899	18.659	18.121	38.876	596.19	-0.061513	215.02	0.052072	supercritical
300.00	653.33	19.452	0.051408	3.9352	7.2939	18.644	18.124	38.861	596.71	-0.061627	215.29	0.052119	supercritical
300.00	655.00	19.460	0.051388	3.9320	7.2979	18.628	18.128	38.846	597.24	-0.061740	215.56	0.052166	supercritical
300.00	656.67	19.467	0.051368	3.9287	7.3019	18.613	18.131	38.831	597.76	-0.061852	215.83	0.052213	supercritical
300.00	658.33	19.475	0.051348	3.9255	7.3059	18.598	18.135	38.816	598.28	-0.061964	216.10	0.052259	supercritical
300.00	660.00	19.483	0.051328	3.9223	7.3099	18.583	18.138	38.801	598.80	-0.062075	216.36	0.052306	supercritical
300.00	661.67	19.490	0.051308	3.9191	7.3139	18.568	18.142	38.787	599.32	-0.062186	216.63	0.052352	supercritical
300.00	663.33	19.498	0.051288	3.9158	7.3180	18.553	18.145	38.772	599.83	-0.062296	216.90	0.052399	supercritical
300.00	665.00	19.505	0.051268	3.9126	7.3220	18.537	18.148	38.758	600.35	-0.062406	217.17	0.052445	supercritical
300.00	666.67	19.513	0.051249	3.9094	7.3260	18.522	18.152	38.743	600.87	-0.062515	217.44	0.052492	supercritical
300.00	668.33	19.520	0.051229	3.9063	7.3301	18.507	18.155	38.729	601.38	-0.062624	217.71	0.052538	supercritical
300.00	670.00	19.528	0.051209	3.9031	7.3341	18.492	18.159	38.714	601.90	-0.062732	217.97	0.052584	supercritical
300.00	671.67	19.535	0.051190	3.8999	7.3382	18.478	18.162	38.700	602.41	-0.062839	218.24	0.052630	supercritical
300.00	673.33	19.543	0.051170	3.8967	7.3422	18.463	18.166	38.686	602.92	-0.062946	218.51	0.052676	supercritical
300.00	675.00	19.550	0.051151	3.8936	7.3463	18.448	18.169	38.672	603.43	-0.063053	218.78	0.052722	supercritical
300.00	676.67	19.557	0.051132	3.8904	7.3503	18.433	18.172	38.658	603.94	-0.063159	219.04	0.052768	supercritical
300.00	678.33	19.565	0.051112	3.8873	7.3544	18.418	18.176	38.644	604.45	-0.063264	219.31	0.052814	supercritical
300.00	680.00	19.572	0.051093	3.8842	7.3585	18.403	18.179	38.630	604.96	-0.063369	219.58	0.052860	supercritical
300.00	681.67	19.580	0.051074	3.8811	7.3626	18.388	18.183	38.616	605.47	-0.063474	219.84	0.052906	supercritical
300.00	683.33	19.587	0.051055	3.8779	7.3667	18.374	18.186	38.602	605.98	-0.063578	220.11	0.052952	supercritical
300.00	685.00	19.594	0.051035	3.8748	7.3708	18.359	18.189	38.589	606.48	-0.063681	220.38	0.052997	supercritical
300.00	686.67	19.602	0.051016	3.8717	7.3749	18.344	18.193	38.575	606.99	-0.063784	220.64	0.053043	supercritical
300.00	688.33	19.609	0.050997	3.8686	7.3790	18.330	18.196	38.561	607.50	-0.063887	220.91	0.053088	supercritical
300.00	690.00	19.616	0.050979	3.8656	7.3831	18.315	18.199	38.548	608.00	-0.063989	221.18	0.053134	supercritical
300.00	691.67	19.623	0.050960	3.8625	7.3872	18.300	18.203	38.534	608.50	-0.064090	221.44	0.053179	supercritical
300.00	693.33	19.631	0.050941	3.8594	7.3913	18.286	18.206	38.521	609.00	-0.064191	221.71	0.053225	supercritical
300.00	695.00	19.638	0.050922	3.8563	7.3954	18.271	18.210	38.508	609.51	-0.064292	221.97	0.053270	supercritical
300.00	696.67	19.645	0.050903	3.8533	7.3996	18.257	18.213	38.494	610.01	-0.064392	222.24	0.053315	supercritical
300.00	698.33	19.652	0.050885	3.8502	7.4037	18.242	18.216	38.481	610.51	-0.064492	222.50	0.053360	supercritical
300.00	700.00	19.659	0.050866	3.8472	7.4078	18.228	18.220	38.468	611.01	-0.064591	222.77	0.053406	supercritical
300.00	701.67	19.667	0.050848	3.8442	7.4120	18.213	18.223	38.455	611.50	-0.064689	223.03	0.053451	supercritical
300.00	703.33	19.674	0.050829	3.8411	7.4161	18.199	18.226	38.442	612.00	-0.064788	223.30	0.053496	supercritical
300.00	705.00	19.681	0.050811	3.8381	7.4203	18.185	18.230	38.429	612.50	-0.064885	223.56	0.053541	supercritical
300.00	706.67	19.688	0.050792	3.8351	7.4244	18.170	18.233	38.416	612.99	-0.064983	223.83	0.053586	supercritical
300.00	708.33	19.695	0.050774	3.8321	7.4286	18.156	18.236	38.403	613.49	-0.065080	224.09	0.053631	supercritical
300.00	710.00	19.702	0.050756	3.8291	7.4328	18.142	18.240	38.390	613.98	-0.065176	224.35	0.053675	supercritical
300.00	711.67	19.709	0.050737	3.8261	7.4369	18.127	18.243	38.378	614.48	-0.065272	224.62	0.053720	supercritical
300.00	713.33	19.716	0.050719	3.8231	7.4411	18.113	18.247	38.365	614.97	-0.065367	224.88	0.053765	supercritical
300.00	715.00	19.723	0.050701	3.8202	7.4453	18.099	18.250	38.352	615.46	-0.065462	225.15	0.053810	supercritical
300.00	716.67	19.730	0.050683	3.8172	7.4495	18.085	18.253	38.340	615.95	-0.065557	225.41	0.053854	supercritical
